N,cohort,comparison,delta_detection_s,delta_failed_clear_s,delta_movement_s,delta_s_per_source,delta_switch_s,delta_total_s,directional_count,family,id,strict_mixed
14,evaluation,C-B,-165,0,-1024.2967000596777,-86.44976421428578,-21,-1210.2966990000004,11,practice-gen-v1,63,True
14,evaluation,C-A,-165,0,-1024.2967000596777,-86.44976421428578,-21,-1210.2966990000004,11,practice-gen-v1,63,True
16,evaluation,B-A,-140,0,-935.322036092083,-68.58262724999997,-22,-1097.3220359999996,5,practice-gen-v1,64,True
16,evaluation,C-B,-475,0,-573.3131392414485,-71.14457112500003,-90,-1138.3131380000004,5,practice-gen-v1,64,True
16,evaluation,C-A,-615,0,-1508.6351753335316,-139.727198375,-112,-2235.635174,5,practice-gen-v1,64,True
12,evaluation,B-A,0,0,0.0,0.0,0,0.0,6,practice-gen-v1,65,True
12,evaluation,C-B,-380,0,-910.3167801055403,-113.60973174999992,-73,-1363.3167809999995,6,practice-gen-v1,65,True
12,evaluation,C-A,-380,0,-910.3167801055403,-113.60973174999992,-73,-1363.3167809999995,6,practice-gen-v1,65,True
12,evaluation,B-A,0,0,0.0,0.0,0,0.0,8,practice-gen-v1,66,True
12,evaluation,C-B,-250,0,-843.1776230680647,-94.93146866666666,-46,-1139.177624,8,practice-gen-v1,66,True
12,evaluation,C-A,-250,0,-843.1776230680647,-94.93146866666666,-46,-1139.177624,8,practice-gen-v1,66,True
16,evaluation,B-A,-560,0,-3931.7243602591398,-286.0452725625,-85,-4576.724361,2,practice-gen-v1,67,True
16,evaluation,C-B,405,0,2593.1239051175326,191.57024393749998,67,3065.1239029999997,2,practice-gen-v1,67,True
16,evaluation,C-A,-155,0,-1338.6004551416074,-94.475028625,-18,-1511.600458,2,practice-gen-v1,67,True
14,evaluation,B-A,0,0,0.0,0.0,0,0.0,13,practice-gen-v1,68,True
14,evaluation,C-B,-120,0,-1299.6583887045344,-103.04702800000007,-23,-1442.6583920000012,13,practice-gen-v1,68,True
14,evaluation,C-A,-120,0,-1299.6583887045344,-103.04702800000007,-23,-1442.6583920000012,13,practice-gen-v1,68,True
12,evaluation,B-A,0,0,0.0,0.0,0,0.0,5,practice-gen-v1,69,True
12,evaluation,C-B,-120,0,-992.3223552692886,-94.11019624999994,-17,-1129.3223550000002,5,practice-gen-v1,69,True
12,evaluation,C-A,-120,0,-992.3223552692886,-94.11019624999994,-17,-1129.3223550000002,5,practice-gen-v1,69,True
12,evaluation,B-A,0,0,0.0,0.0,0,0.0,4,practice-gen-v1,70,True
12,evaluation,C-B,-360,0,-926.1364176332506,-112.76136799999995,-67,-1353.1364159999994,4,practice-gen-v1,70,True
12,evaluation,C-A,-360,0,-926.1364176332506,-112.76136799999995,-67,-1353.1364159999994,4,practice-gen-v1,70,True
16,evaluation,B-A,-220,0,-1601.367357980676,-115.89795987499997,-33,-1854.3673579999995,9,practice-gen-v1,71,True
16,evaluation,C-B,145,0,563.2608722890822,46.328804624999975,33,741.2608739999996,9,practice-gen-v1,71,True
16,evaluation,C-A,-75,0,-1038.106485691594,-69.56915525,0,-1113.106484,9,practice-gen-v1,71,True
16,evaluation,B-A,-160,0,-1131.912376665748,-82.30702356250004,-25,-1316.9123770000006,14,practice-gen-v1,72,True
16,evaluation,C-B,-260,0,-535.5278988960694,-53.03299362500002,-53,-848.5278980000003,14,practice-gen-v1,72,True
16,evaluation,C-A,-420,0,-1667.4402755618175,-135.34001718750005,-78,-2165.440275000001,14,practice-gen-v1,72,True
16,evaluation,B-A,-200,0,-1477.9899127878184,-106.81186956250002,-31,-1708.9899130000003,4,practice-gen-v1,73,True
16,evaluation,C-B,-175,0,-479.63943869104986,-42.664964999999995,-28,-682.6394399999999,4,practice-gen-v1,73,True
16,evaluation,C-A,-375,0,-1957.629351478868,-149.47683456250002,-59,-2391.6293530000003,4,practice-gen-v1,73,True
16,evaluation,B-A,-120,0,-834.0746853609205,-60.817167874999996,-19,-973.0746859999999,12,practice-gen-v1,74,True
16,evaluation,C-B,-545,0,-2550.365557124799,-199.02284712499994,-89,-3184.365553999999,12,practice-gen-v1,74,True
16,evaluation,C-A,-665,0,-3384.4402424857194,-259.84001499999994,-108,-4157.440239999999,12,practice-gen-v1,74,True
12,evaluation,B-A,0,0,0.0,0.0,0,0.0,2,practice-gen-v1,75,True
12,evaluation,C-B,-490,0,-1293.5899198838263,-156.3824933333333,-93,-1876.5899200000003,2,practice-gen-v1,75,True
12,evaluation,C-A,-490,0,-1293.5899198838263,-156.3824933333333,-93,-1876.5899200000003,2,practice-gen-v1,75,True
13,evaluation,B-A,0,0,0.0,0.0,0,0.0,11,practice-gen-v1,76,True
13,evaluation,C-B,-890,0,-378.31588579694653,-110.79352976923076,-172,-1440.3158869999988,11,practice-gen-v1,76,True
13,evaluation,C-A,-890,0,-378.31588579694653,-110.79352976923076,-172,-1440.3158869999988,11,practice-gen-v1,76,True
14,evaluation,B-A,0,0,0.0,0.0,0,0.0,1,practice-gen-v1,77,True
14,evaluation,C-B,-195,0,-1386.2573877876152,-114.94695650000006,-28,-1609.257391000001,1,practice-gen-v1,77,True
14,evaluation,C-A,-195,0,-1386.2573877876152,-114.94695650000006,-28,-1609.257391000001,1,practice-gen-v1,77,True
16,evaluation,B-A,-180,0,-1328.9973969524303,-95.99983731250006,-27,-1535.997397000001,13,practice-gen-v1,78,True
16,evaluation,C-B,125,0,-587.6601372697921,-26.916258374999984,32,-430.66013399999974,13,practice-gen-v1,78,True
16,evaluation,C-A,-55,0,-1916.6575342222227,-122.91609568750005,5,-1966.6575310000007,13,practice-gen-v1,78,True
11,evaluation,B-A,0,0,0.0,0.0,0,0.0,8,practice-gen-v1,79,True
11,evaluation,C-B,-545,0,-627.805308412337,-116.07321018181824,-104,-1276.8053120000004,8,practice-gen-v1,79,True
11,evaluation,C-A,-545,0,-627.805308412337,-116.07321018181824,-104,-1276.8053120000004,8,practice-gen-v1,79,True
10,evaluation,B-A,0,0,0.0,0.0,0,0.0,4,practice-gen-v1,80,True
10,evaluation,C-B,-525,0,-765.7013740112212,-138.97013760000016,-99,-1389.701376000001,4,practice-gen-v1,80,True
10,evaluation,C-A,-525,0,-765.7013740112212,-138.97013760000016,-99,-1389.701376000001,4,practice-gen-v1,80,True
13,evaluation,B-A,0,0,0.0,0.0,0,0.0,7,practice-gen-v1,81,True
13,evaluation,C-B,-405,0,-707.529165810303,-91.11762846153852,-72,-1184.5291699999998,7,practice-gen-v1,81,True
13,evaluation,C-A,-405,0,-707.529165810303,-91.11762846153852,-72,-1184.5291699999998,7,practice-gen-v1,81,True
14,evaluation,B-A,0,0,0.0,0.0,0,0.0,4,practice-gen-v1,82,True
