index,stage,path,channel,x,y,travel_m,travel_s,switch_s,measure_s,clear_s,total_s,result
239,discovery,/measure,18,-1400.0,0.0,0.0,0.0,1,5,0,6.0,no_signal
240,discovery,/measure,19,-1400.0,0.0,0.0,0.0,1,5,0,6.0,direction
241,certified_clear,/clear,19,-1763.4686832122738,360.9398576291914,512.2373126798215,102.44746253596429,0,0,5,107.44746253596429,success
242,discovery,/measure,1,-1400.0,700.0,497.0626357116146,99.41252714232292,1,5,0,105.41252714232292,no_signal
243,discovery,/measure,2,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
244,discovery,/measure,3,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
245,discovery,/measure,4,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
246,discovery,/measure,5,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
247,discovery,/measure,6,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
248,discovery,/measure,7,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
249,discovery,/measure,9,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
250,discovery,/measure,10,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
251,discovery,/measure,11,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
252,discovery,/measure,12,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
253,discovery,/measure,13,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
254,discovery,/measure,14,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
255,discovery,/measure,15,-1400.0,700.0,0.0,0.0,1,5,0,6.0,direction
256,discovery,/measure,16,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
257,discovery,/measure,17,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
258,discovery,/measure,18,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
259,discovery,/measure,20,-1400.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
260,active_localization,/measure,16,-1653.1403866561864,950.8357307414997,356.3686562719366,71.27373125438731,1,5,0,77.27373125438731,direction
261,certified_clear,/clear,16,-1621.9643580381899,766.4745579229493,186.97857311312845,37.39571462262569,0,0,5,42.39571462262569,success
262,discovery,/measure,1,-2100.0,700.0,482.6354129535995,96.5270825907199,1,5,0,102.5270825907199,no_signal
263,discovery,/measure,2,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
264,discovery,/measure,3,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
265,discovery,/measure,4,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
266,discovery,/measure,5,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
267,discovery,/measure,6,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
268,discovery,/measure,7,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
269,discovery,/measure,9,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
270,discovery,/measure,10,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
271,discovery,/measure,11,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
272,discovery,/measure,12,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
273,discovery,/measure,13,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
274,discovery,/measure,14,-2100.0,700.0,0.0,0.0,1,5,0,6.0,direction
275,discovery,/measure,15,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
276,discovery,/measure,17,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
277,discovery,/measure,18,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
278,discovery,/measure,20,-2100.0,700.0,0.0,0.0,1,5,0,6.0,no_signal
279,discovery,/measure,20,-2100.0,1400.0,700.0,140.0,0,5,0,145.0,direction
280,discovery,/measure,1,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
281,discovery,/measure,2,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
282,discovery,/measure,3,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
283,discovery,/measure,4,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
284,discovery,/measure,5,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
285,discovery,/measure,6,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
286,discovery,/measure,7,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
287,discovery,/measure,9,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
288,discovery,/measure,10,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
289,discovery,/measure,11,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
290,discovery,/measure,12,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
291,discovery,/measure,13,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
292,discovery,/measure,14,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,direction
293,discovery,/measure,15,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
294,discovery,/measure,17,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
295,discovery,/measure,18,-2100.0,1400.0,0.0,0.0,1,5,0,6.0,no_signal
296,active_localization,/measure,14,-1390.123351714208,1141.7935960347172,755.3776557657453,151.07553115314906,1,5,0,157.07553115314906,no_signal
297,active_localization,/measure,14,-1392.7018200216874,1154.660270544738,13.122492589424317,2.6244985178848634,0,5,0,7.624498517884863,direction
298,certified_clear,/clear,14,-1415.2271529236205,1112.6749163103652,47.64620228862609,9.52924045772522,0,0,5,14.52924045772522,success
