mode,level,x,y,parent,reason
M1,0,436.50635094610965,-256.05117766515303,coarse_grid,float_prefilter
M1,0,416.50635094610965,-221.4101615137755,coarse_grid,float_prefilter
M1,0,396.50635094610965,-186.76914536239792,coarse_grid,float_prefilter
M1,0,376.50635094610965,-152.1281292110204,coarse_grid,float_prefilter
M1,0,356.50635094610965,-117.48711305964285,coarse_grid,float_prefilter
M1,0,336.50635094610965,-82.8460969082653,coarse_grid,float_prefilter
M1,0,316.50635094610965,-48.20508075688777,coarse_grid,float_prefilter
M1,0,296.50635094610965,-13.564064605510211,coarse_grid,float_prefilter
M1,0,276.50635094610965,21.076951545867345,coarse_grid,float_prefilter
M1,0,256.50635094610965,55.71796769724489,coarse_grid,float_prefilter
M1,0,236.50635094610968,90.35898384862244,coarse_grid,float_prefilter
M1,0,216.50635094610968,124.99999999999999,coarse_grid,float_prefilter
M1,0,196.50635094610968,159.64101615137753,coarse_grid,float_prefilter
M1,0,176.50635094610968,194.28203230275508,coarse_grid,float_prefilter
M1,0,156.50635094610968,228.92304845413264,coarse_grid,float_prefilter
M1,0,136.5063509461097,263.56406460551017,coarse_grid,float_prefilter
M1,0,116.50635094610969,298.20508075688775,coarse_grid,float_prefilter
M1,0,96.50635094610969,332.8460969082653,coarse_grid,float_prefilter
M1,0,76.5063509461097,367.4871130596428,coarse_grid,float_prefilter
M1,0,56.506350946109706,402.1281292110204,coarse_grid,float_prefilter
M1,0,36.506350946109706,436.7691453623979,coarse_grid,float_prefilter
M1,0,16.506350946109706,471.4101615137755,coarse_grid,float_prefilter
M1,0,-3.4936490538902945,506.05117766515303,coarse_grid,float_prefilter
M1,0,-23.493649053890294,540.6921938165306,coarse_grid,float_prefilter
M1,0,-43.493649053890266,575.3332099679081,coarse_grid,float_prefilter
M1,0,-63.493649053890266,609.9742261192856,coarse_grid,float_prefilter
M1,0,-83.49364905389027,644.6152422706632,coarse_grid,float_prefilter
M1,0,-103.49364905389027,679.2562584220408,coarse_grid,float_prefilter
M1,0,-123.49364905389027,713.8972745734184,coarse_grid,float_prefilter
M1,0,-143.49364905389027,748.5382907247958,coarse_grid,float_prefilter
M1,0,-163.49364905389027,783.1793068761734,coarse_grid,float_prefilter
M1,0,-183.49364905389027,817.820323027551,coarse_grid,float_prefilter
M1,0,-203.49364905389027,852.4613391789285,coarse_grid,float_prefilter
M1,0,-223.49364905389027,887.1023553303061,coarse_grid,float_prefilter
M1,0,-243.49364905389027,921.7433714816837,coarse_grid,float_prefilter
M1,0,-263.4936490538903,956.3843876330611,coarse_grid,float_prefilter
M1,0,-283.4936490538903,991.0254037844387,coarse_grid,float_prefilter
M1,0,759.8076211353316,-716.0254037844387,coarse_grid,float_prefilter
M1,0,739.8076211353316,-681.3843876330611,coarse_grid,float_prefilter
M1,0,719.8076211353316,-646.7433714816837,coarse_grid,float_prefilter
M1,0,699.8076211353316,-612.1023553303061,coarse_grid,float_prefilter
M1,0,679.8076211353316,-577.4613391789285,coarse_grid,float_prefilter
M1,0,659.8076211353316,-542.820323027551,coarse_grid,float_prefilter
M1,0,639.8076211353316,-508.1793068761734,coarse_grid,float_prefilter
M1,0,619.8076211353316,-473.53829072479584,coarse_grid,float_prefilter
M1,0,599.8076211353316,-438.8972745734184,coarse_grid,float_prefilter
M1,0,579.8076211353316,-404.2562584220408,coarse_grid,float_prefilter
M1,0,559.8076211353316,-369.6152422706632,coarse_grid,float_prefilter
M1,0,539.8076211353316,-334.97422611928573,coarse_grid,float_prefilter
M1,0,519.8076211353316,-300.33320996790815,coarse_grid,float_prefilter
M1,0,499.8076211353316,-265.69219381653056,coarse_grid,float_prefilter
M1,0,479.8076211353316,-231.05117766515306,coarse_grid,float_prefilter
M1,0,459.8076211353316,-196.41016151377553,coarse_grid,float_prefilter
M1,0,439.8076211353316,-161.76914536239795,coarse_grid,float_prefilter
M1,0,419.8076211353316,-127.12812921102042,coarse_grid,float_prefilter
M1,0,399.8076211353316,-92.48711305964287,coarse_grid,float_prefilter
M1,0,379.8076211353316,-57.84609690826531,coarse_grid,float_prefilter
M1,0,359.8076211353316,-23.20508075688778,coarse_grid,float_prefilter
M1,0,339.8076211353316,11.435935394489775,coarse_grid,float_prefilter
M1,0,319.8076211353316,46.07695154586733,coarse_grid,float_prefilter
M1,0,299.8076211353316,80.71796769724487,coarse_grid,float_prefilter
M1,0,279.8076211353316,115.35898384862242,coarse_grid,float_prefilter
M1,0,259.8076211353316,149.99999999999997,coarse_grid,float_prefilter
M1,0,239.8076211353316,184.64101615137753,coarse_grid,float_prefilter
M1,0,219.8076211353316,219.28203230275506,coarse_grid,float_prefilter
