seed,baseline,delta_diameter_m,delta_time_s
89,perpendicular_midpoint,16.572831681797812,28.373833902870416
90,perpendicular_midpoint,-6.527146099209663,20.292438654287622
91,perpendicular_midpoint,-40.22315012064634,17.949700747215616
92,perpendicular_midpoint,-5.286320673363846,7.84655863705126
93,perpendicular_midpoint,5.989904869492975,18.520175499367298
94,perpendicular_midpoint,46.82310213347673,35.44241916706241
95,perpendicular_midpoint,24.48379604514774,31.111375747548237
96,perpendicular_midpoint,-61.936996090622785,29.311933890972767
97,perpendicular_midpoint,48.400008081518166,30.660202916627128
98,perpendicular_midpoint,13.601230206881745,28.916867400538536
99,perpendicular_midpoint,40.49790273948629,32.10884036151444
