certified_clears,clear_attempts,clear_rate,cleared,distance_m,error,evidence,localization_observations,mean_time_per_source_s,measure_count,mixed,optical_fallbacks,policy,runtime_s,seed,stress,switch_count,total,use_negative,virtual_time_s
15,16,1.0,16,35724.93478231712,,synthetic_local,56,657.5616847789644,557,True,1,P4,1.5966406000000006,15,cluster,511,16,False,10520.98695646343
13,13,1.0,13,29499.03442439925,,synthetic_local,35,506.9851449907577,109,False,0,P1,0.0592398999999979,16,random,81,13,True,6590.80688487985
13,13,1.0,13,31144.04480267773,,synthetic_local,35,532.2929969642726,109,False,0,P2,1.1386441000000005,16,random,81,13,True,6919.8089605355435
13,13,1.0,13,14514.998729257815,,synthetic_local,36,282.53844198858184,119,False,0,P3,0.9093643,16,random,110,13,True,3672.9997458515636
7,427,1.0,13,152026.12141131493,,synthetic_local,28,2664.7864832510045,501,True,6,P1,0.13689159999999845,16,random,425,13,True,34642.22428226306
12,15,1.0,13,43285.43867632097,,synthetic_local,40,904.0836719433994,513,True,1,P4,2.6281512000000014,16,random,460,13,True,11753.087735264193
8,26,1.0,13,43372.59516430726,,synthetic_local,35,909.1168486816501,516,True,5,P4,2.2466234999999983,16,random,460,13,False,11818.519032861452
15,15,1.0,15,32465.840225535,,synthetic_local,45,484.2112030071335,122,False,0,P1,0.07861340000000183,17,edge,85,15,True,7263.168045107002
15,15,1.0,15,33315.026847818684,,synthetic_local,40,493.86702463758263,117,False,0,P2,1.2984006000000008,17,edge,85,15,True,7408.00536956374
15,15,1.0,15,16530.4435833723,,synthetic_local,38,270.67258111163085,115,False,0,P3,1.1681424000000007,17,edge,104,15,True,4060.0887166744624
5,1329,1.0,15,393920.7481371109,,synthetic_local,25,5739.743308494827,563,True,10,P1,0.15050289999999933,17,edge,480,15,True,86096.1496274224
