case_id,event_index,vertex_index,x_m,y_m
5,3,3,-781.4640643166409,-185.81070781202376
5,4,0,-499.9008299759915,357.4316590904389
5,4,1,-499.9758184323323,357.04533697942145
5,4,2,-483.1451122690514,345.66079921717596
5,4,3,-482.1622704181313,346.3193757040393
5,5,0,-1250.6543960312947,744.9355270733823
5,5,1,-1264.9862866215049,736.3427722282826
5,5,2,-1280.5962487934312,719.9019267034901
5,5,3,-1271.6418679663402,721.8534789111113
5,5,4,-1269.7132105141625,723.3972437076361
5,6,0,-0.0014587180177088044,1201.7973969059287
5,6,1,1.4287017280814105,1201.0928954397018
5,6,2,2.1920432325304304,1224.919212660847
5,6,3,1.5712942523477125,1225.1983836721395
5,7,0,314.54841633191927,-250.96590355178148
5,7,1,315.1870656929924,-251.47545694843683
5,7,2,321.6442017521316,-238.65638505945424
5,7,3,320.58020544302616,-237.86691174868275
5,8,0,94.70924955667225,-438.8407942078802
5,8,1,101.51914917281408,-441.81950540160545
5,8,2,117.67393279761356,-423.8872437826507
5,8,3,111.85925220296693,-421.09694699074697
5,9,0,356.2154989410928,-1205.8648545997748
5,9,1,347.9108409368498,-1217.709728803005
5,9,2,366.45572980909935,-1229.3677375187144
5,9,3,374.74032021078386,-1216.6227651057272
5,10,0,-985.382942740522,-1378.1004067677848
5,10,1,-996.5437609326568,-1404.972017378408
5,10,2,-963.1054103678892,-1391.34990145258
5,10,3,-962.3965486325424,-1389.4584945279842
5,11,0,-1419.0936041460316,-1026.870568152052
5,11,1,-1417.5985071266668,-1027.5902704541147
5,11,2,-1407.2500548205646,-1023.7345180859862
5,11,3,-1409.3116604016689,-1022.8297510754973
5,12,0,-1269.2955627977403,-458.41330189144225
5,12,1,-1272.7319257096192,-464.2412720313383
5,12,2,-1253.9293387019236,-469.2284438749734
5,12,3,-1250.3949778222845,-462.72302294503965
5,13,0,-356.7902317816044,-550.8547108627417
5,13,1,-358.27849904691976,-548.9853772753343
5,13,2,-359.0288957712155,-579.1507809517996
5,13,3,-358.5241070632529,-579.7410820315141
6,0,0,419.3975596160233,-278.383372861859
6,0,1,431.97585267050323,-286.7324620853559
6,0,2,449.89741368889713,-276.4000357366629
6,0,3,438.3269479888802,-269.29157715106646
6,1,0,334.5284566594244,-698.6179060140001
6,1,1,335.0412075735445,-698.07880547084
6,1,2,329.0217159093789,-680.611788744326
6,2,0,372.0264496124454,-24.612145312382474
6,2,1,402.0976786646896,-26.60156692454683
6,2,2,395.67872502652983,-12.261889248341886
6,2,3,393.7597352360956,-12.202420697745879
6,2,4,366.21265315781767,-12.757805235232999
6,3,0,-440.8052473544491,-385.8278794935521
6,3,1,-441.8242954127824,-386.7198315603854
6,3,2,-422.02909527060643,-396.38101175173176
6,3,3,-421.64909842373663,-396.02410855166175
6,4,0,-1019.2540399103776,-603.5081389921257
6,4,1,-1018.3539018194223,-603.8041763835972
6,4,2,-1018.9129720472831,-591.3242689415254
6,4,3,-1020.2689338288708,-590.824969062109
