case_id,channel,observation_index,time,diameter,mec_radius,particle_count
0,14,1,3685.952269,59.902292062746,29.951146041373,458
0,14,2,3909.872569,59.902292062746,29.951146041373,458
0,14,3,4127.792869,59.902292062746,29.951146041373,458
0,14,4,4416.326448,59.902292062746,29.951146041373,458
0,14,5,4674.405456,59.902292062746,29.951146041373,458
0,14,6,4932.484464,59.902292062746,29.951146041373,362
0,14,7,5190.563472,36.54117798434935,18.270589002174724,5758
0,15,0,2880.738743,1488.281724519391,744.1408622696956,5960
0,15,1,3448.016417,66.80706158122231,33.40353080061127,5567
0,15,2,3691.952269,66.80706158122231,33.40353080061127,5567
0,15,3,3915.872569,66.80706158122231,33.40353080061127,5567
0,15,4,4073.792869,66.80706158122231,33.40353080061127,5567
0,15,5,4422.326448,66.80706158122231,33.40353080061127,5567
0,15,6,4620.405456,66.80706158122231,33.40353080061127,5567
0,15,7,4938.484464,66.80706158122231,33.40353080061127,5567
0,15,8,5136.563472,66.80706158122231,33.40353080061127,5567
0,15,9,5516.181609,51.32210015847187,25.661050089235953,3105
0,15,10,5677.203921,20.86523922907572,10.432619624537868,4550
0,16,0,95.0,1501.4985019954536,750.7492510077268,8688
0,16,1,419.8,1501.4985019954536,750.7492510077268,7701
0,16,2,703.445514,1501.4985019954536,750.7492510077268,7673
0,16,3,1060.129982,1501.4985019954536,750.7492510077268,7673
0,16,4,1424.594784,1501.4985019954536,750.7492510077268,7673
0,16,5,1904.594784,1501.4985019954536,750.7492510077268,7673
0,16,6,2198.673792,1501.4985019954536,750.7492510077268,7673
0,16,7,2492.7528,1501.4985019954536,750.7492510077268,7673
0,16,8,2886.738743,49.06450386324469,24.53225194162237,8001
0,16,9,3182.27687,26.188673237879808,13.094336628939928,1589
0,17,0,709.445514,1022.0028074173517,511.001403718676,9162
0,17,1,784.545654,87.5198843307773,43.759942175388765,312
0,17,2,869.874612,15.45026416726576,7.725667988466645,6910
0,19,0,113.0,1501.8089947055887,750.9044973627944,8636
0,19,1,437.8,1501.8089947055887,750.9044973627944,8137
0,19,2,721.445514,1501.8089947055887,750.9044973627944,8109
0,19,3,1072.129982,1501.8089947055887,750.9044973627944,8109
0,19,4,1436.594784,1501.8089947055887,750.9044973627944,8109
0,19,5,1916.594784,1501.8089947055887,750.9044973627944,8109
0,19,6,2114.673792,1501.8089947055887,750.9044973627944,8109
0,19,7,2504.7528,1501.8089947055887,750.9044973627944,8109
0,19,8,2898.738743,1501.8089947055887,750.9044973627944,7431
0,19,9,3460.016417,43.30517647768915,21.652588248844577,10395
0,19,10,3551.398815,10.624739427170518,5.312369723585276,9447
0,20,0,119.0,1500.672212228246,750.3460516887353,8642
0,20,1,323.8,1500.672212228246,750.3460516887353,8134
0,20,2,727.445514,1500.672212228246,750.3460516887353,8110
0,20,3,1078.129982,1500.672212228246,750.3460516887353,8110
0,20,4,1442.594784,1500.672212228246,750.3460516887353,8110
0,20,5,1820.594784,1500.672212228246,750.3460516887353,8110
0,20,6,2210.673792,1500.672212228246,750.3460516887353,8110
0,20,7,2408.7528,1500.672212228246,750.3460516887353,8110
0,20,8,2904.738743,109.81469289711374,54.90734645855693,1509
0,20,9,3275.0448,52.04789522220811,26.023947621104114,285
0,20,10,3332.141346,8.704513179211672,4.3533153956192185,1699
1,1,0,4042.086328,1122.8644707759317,561.4322353979659,10326
1,1,1,4274.286328,95.03327212466253,47.516636072331266,706
1,1,2,4486.206628,45.494280855216196,22.77413580452123,268
1,1,3,4700.318841,19.554975903991135,9.777487961995648,6829
1,3,0,17.0,1501.8089947055857,750.9044973627929,8607
1,3,1,341.8,43.570758362757886,21.785379191378947,10766
1,3,2,593.657383,14.510888583716318,7.255444301858159,8748
1,4,0,347.8,1500.05154845738,750.02577423869,5962
1,4,1,652.366195,1500.05154845738,750.02577423869,5779
1,4,2,1180.442965,1500.05154845738,750.02577423869,4206
1,4,3,1438.248645,109.22324366557396,54.611621842787,4232
1,4,4,1593.891615,31.479829253914954,15.739914636957492,3633
1,5,0,29.0,1501.8089947055905,750.9044973627953,8620
1,5,1,353.8,1501.8089947055905,750.9044973627953,8087
1,5,2,658.366195,1501.8089947055905,750.9044973627953,7253
1,5,3,1186.442965,1501.8089947055905,750.9044973627953,7253
1,5,4,1758.286862,1501.8089947055905,750.9044973627953,7232
1,5,5,2344.124934,77.77392745019263,38.886963735096366,383
1,5,6,2613.770296,77.77392745019263,38.886963735096366,383
1,5,7,2865.849304,77.77392745019263,38.886963735096366,383
1,5,8,3117.928312,77.77392745019263,38.886963735096366,383
1,5,9,3549.928312,77.77392745019263,38.886963735096366,383
1,5,10,3802.00732,77.77392745019263,38.886963735096366,383
1,5,11,4054.086328,77.77392745019263,38.886963735096366,383
1,5,12,4286.286328,77.77392745019263,38.886963735096366,383
1,5,13,4498.206628,77.77392745019263,38.886963735096366,2483
1,5,14,4749.691888,77.77392745019263,38.886963735096366,2483
1,5,15,5001.770896,77.77392745019263,38.886963735096366,2483
1,5,16,5294.016396,37.20123136565583,18.74678903995556,380
1,6,0,35.0,1501.808994705589,750.9044973627945,8566
1,6,1,359.8,51.319839323017845,25.659919671508945,8581
1,6,2,664.366195,51.319839323017845,25.659919671508945,5174
1,6,3,1192.442965,51.319839323017845,25.659919671508945,5174
1,6,4,1764.286862,34.878893697543,17.43944685877153,3337
1,7,0,2350.124934,1256.825803484828,628.412901752414,8724
1,7,1,2619.770296,96.76119731977457,48.380598669887284,632
1,7,2,2871.849304,96.76119731977457,48.380598669887284,632
1,7,3,3123.928312,96.76119731977457,48.380598669887284,632
