family,id,seconds_per_source,cumulative_probability
mixed,57,453.0233287142857,0.2502685284640172
mixed,198,453.15842886666667,0.2513426423200859
mixed,924,454.04170675,0.25241675617615467
mixed,293,455.0694277333333,0.2534908700322234
mixed,828,455.1133840769231,0.2545649838882922
mixed,851,455.2724411333333,0.2556390977443609
mixed,920,455.475385,0.25671321160042965
mixed,994,456.2618220714286,0.2577873254564984
mixed,175,456.586385,0.2588614393125671
mixed,988,456.8066302857143,0.25993555316863587
mixed,872,457.0216055,0.26100966702470463
mixed,960,457.1139857142857,0.2620837808807734
mixed,857,457.27252371428574,0.2631578947368421
mixed,247,457.8262309333333,0.26423200859291085
mixed,74,457.9949614,0.2653061224489796
mixed,594,458.2355035,0.2663802363050483
mixed,430,458.9816189333333,0.26745435016111707
mixed,544,459.2572139333333,0.26852846401718583
mixed,845,459.8077243571429,0.2696025778732546
mixed,796,460.8251669285714,0.2706766917293233
mixed,237,461.0068563571429,0.27175080558539205
mixed,772,461.3178548571428,0.2728249194414608
mixed,206,461.32456014285714,0.2738990332975295
mixed,183,462.3364521428571,0.2749731471535983
mixed,694,462.56726453846153,0.27604726100966703
mixed,908,462.8567881333333,0.2771213748657358
mixed,989,463.4394099333333,0.2781954887218045
mixed,516,463.7198748571428,0.27926960257787325
mixed,381,463.8208039285714,0.280343716433942
mixed,212,463.9792010666667,0.2814178302900107
mixed,452,463.9805332,0.2824919441460795
mixed,412,464.37707969230775,0.28356605800214824
mixed,4,465.0373625714286,0.284640171858217
mixed,906,466.89862385714287,0.2857142857142857
mixed,716,467.0515414615384,0.28678839957035446
mixed,689,467.7309577857144,0.2878625134264232
mixed,356,467.8369446153847,0.2889366272824919
mixed,757,468.1256675384615,0.2900107411385607
mixed,707,468.20840913333336,0.29108485499462944
mixed,189,468.2277285384616,0.2921589688506982
mixed,701,468.2477088571428,0.2932330827067669
mixed,193,468.4585729333333,0.29430719656283566
mixed,729,468.8959962307693,0.2953813104189044
mixed,678,469.17814246666666,0.2964554242749731
mixed,830,469.42068846666666,0.2975295381310419
mixed,656,469.5515305333333,0.29860365198711064
mixed,168,469.7521836428572,0.2996777658431794
mixed,139,469.8774602,0.3007518796992481
