case_id,action_count,cost_sum_s,end_time_s,ledger_error_s
750,280,6733.420862,6733.420862,0.0
751,317,7513.966962,7513.966962,0.0
752,297,6656.688546,6656.688546,0.0
753,269,6215.416404,6215.416404,0.0
754,297,6932.660501,6932.660501,0.0
755,269,6438.521499,6438.521499,0.0
756,328,7725.753676,7725.753676,0.0
757,254,6085.633678,6085.633678,0.0
758,275,6710.198634,6710.198634,0.0
759,317,7123.709412,7123.709412,0.0
760,327,6389.155249,6389.155249,0.0
761,285,7142.145815,7142.145815,0.0
762,315,6504.93933,6504.93933,0.0
763,264,6591.918444,6591.918444,0.0
764,292,6634.567291,6634.567291,0.0
765,330,6636.257943,6636.257943,0.0
766,218,4715.470558,4715.470558,0.0
767,290,7323.618724,7323.618724,0.0
768,305,6631.059143,6631.059143,0.0
769,352,7504.660723,7504.660723,0.0
770,255,6444.170211,6444.170211,0.0
771,305,6788.112168,6788.112168,0.0
772,271,6458.449968,6458.449968,0.0
773,297,6552.861646,6552.861646,0.0
774,267,7453.577276,7453.577276,0.0
775,325,7370.560427,7370.560427,0.0
776,253,6140.659853,6140.659853,0.0
777,295,6677.520855,6677.520855,0.0
778,319,6140.986809,6140.986809,0.0
779,333,7397.600631,7397.600631,0.0
780,307,6525.795365,6525.795365,0.0
781,283,7029.69072,7029.69072,0.0
782,231,6479.6556,6479.6556,0.0
783,315,7267.9904,7267.9904,0.0
784,306,6537.768926,6537.768926,0.0
785,336,6680.530378,6680.530378,0.0
786,164,3627.351993,3627.351993,0.0
787,306,7260.158343,7260.158343,0.0
788,302,6497.647091,6497.647091,0.0
789,320,6548.133141,6548.133141,0.0
790,270,6411.875379,6411.875379,0.0
791,237,6457.291211,6457.291211,0.0
792,279,6531.547189,6531.547189,0.0
793,297,6843.121956,6843.121956,0.0
794,285,5858.401821,5858.401821,0.0
795,272,6661.773437,6661.773437,0.0
796,287,6451.552337,6451.552337,0.0
797,257,5928.960118,5928.960118,0.0
798,300,7377.858162,7377.858162,0.0
799,294,6696.059989,6696.059989,0.0
800,314,7124.816424,7124.816424,0.0
801,273,6293.813021,6293.813021,0.0
802,272,7563.831482,7563.831482,0.0
803,327,7318.327897,7318.327897,0.0
804,180,4482.609997,4482.609997,0.0
805,332,6585.511983,6585.511983,0.0
806,375,6459.078643,6459.078643,0.0
807,292,6585.946146,6585.946146,0.0
808,206,4863.014231,4863.014231,0.0
809,276,6466.559287,6466.559287,0.0
810,331,6917.764597,6917.764597,0.0
811,299,6550.391643,6550.391643,0.0
812,265,6964.708636,6964.708636,0.0
813,279,6153.256222,6153.256222,0.0
814,303,6590.495169,6590.495169,0.0
815,230,6207.326613,6207.326613,0.0
816,282,6475.936695,6475.936695,0.0
817,317,6452.168717,6452.168717,0.0
818,294,6789.462881,6789.462881,0.0
819,282,6672.207173,6672.207173,0.0
820,301,6267.398683,6267.398683,0.0
821,282,7616.100791,7616.100791,0.0
822,317,7431.94305,7431.94305,0.0
823,278,6539.944043,6539.944043,0.0
824,251,6431.643271,6431.643271,0.0
825,276,6236.066771,6236.066771,0.0
826,290,7272.50534,7272.50534,0.0
827,287,6729.52403,6729.52403,0.0
828,287,5916.473993,5916.473993,0.0
829,307,6729.097338,6729.097338,0.0
830,263,7041.310327,7041.310327,0.0
831,170,5121.301499,5121.301499,0.0
832,322,6092.874783,6092.874783,0.0
833,302,7052.530264,7052.530264,0.0
834,270,6400.045551,6400.045551,0.0
835,351,6639.323273,6639.323273,0.0
836,330,6583.68403,6583.68403,0.0
837,269,6690.396641,6690.396641,0.0
838,303,7630.142426,7630.142426,0.0
839,286,6136.575351,6136.575351,0.0
840,306,6509.951793,6509.951793,0.0
841,316,6838.465765,6838.465765,0.0
842,313,6563.457684,6563.457684,0.0
843,302,6475.573594,6475.573594,0.0
844,306,7082.185329,7082.185329,0.0
845,306,6437.308141,6437.308141,0.0
846,318,6957.048651,6957.048651,0.0
847,287,6987.869296,6987.869296,0.0
848,299,6361.040588,6361.040588,0.0
849,290,6020.01689,6020.01689,0.0
850,203,4857.392856,4857.392856,0.0
851,248,6829.086617,6829.086617,0.0
852,301,6464.021215,6464.021215,0.0
853,325,7038.070863,7038.070863,0.0
854,281,6219.042657,6219.042657,0.0
855,270,6976.738928,6976.738928,0.0
856,277,6568.39509,6568.39509,0.0
857,270,6401.815332,6401.815332,0.0
858,283,7219.210711,7219.210711,0.0
859,365,7495.404159,7495.404159,0.0
860,204,4696.617539,4696.617539,0.0
861,291,6598.09279,6598.09279,0.0
862,260,6730.990762,6730.990762,0.0
