id,step,phase,N,time_s,nodes,sample_group,remaining_cost,spearman,constant_prediction,top1_optimal,top3_best_recall,top3_overlap,predictor_regret,R12_regret,predictor_gain,top3_available_gain,margin,H1_pred,H1_R12,H2_pred,H2_R12,H3_pred,H3_R12
391,15,late,16,4133.964777,10,N16_late,1106.8558050000001,-0.16363636363636364,False,False,False,0.0,1022.4320189999999,46.54220400000031,-975.8898149999995,-975.8898149999995,0.3918648064452741,False,False,False,False,False,False
392,1,early,16,119.0,24,early,5316.09483,-0.02957164670906901,False,False,False,0.3333333333333333,2990.6854439999997,1093.6072370000002,-1897.0782069999996,0.0,0.00037181047283163515,True,True,False,False,False,False
392,4,early,16,1495.518961,21,early,3939.5758690000002,0.012987012987012986,False,False,False,0.0,770.5409150000005,337.74623900000006,-432.79467600000044,-432.79467600000044,0.5468793983186648,True,False,False,False,False,False
392,10,late,16,2826.579878,15,N16_late,2608.514952,-0.2571428571428571,False,False,False,0.0,1668.072999,451.009497,-1217.063502,-119.90983299999971,0.6462908720659334,True,False,False,False,False,False
393,2,early,16,673.741948,23,early,6135.731143,-0.3339920948616601,False,False,False,0.0,859.7853760000007,590.7930070000002,-268.9923690000005,-268.9923690000005,0.1837019915941106,True,True,False,False,False,False
393,15,late,16,4931.270938,10,N16_late,1878.2021530000002,-0.709090909090909,False,False,False,0.0,591.4445889999997,0.0,-591.4445889999997,-574.3653000000004,0.39282063379727905,False,False,False,False,False,False
393,17,late,16,5733.140006,8,N16_late,1076.3330850000002,0.2380952380952381,False,False,False,0.3333333333333333,2.758119000000079,359.44623200000024,356.68811300000016,356.68811300000016,0.23126076568316944,True,False,False,False,True,False
394,2,early,16,678.324482,23,early,5248.449719,0.35079051383399207,False,False,True,0.3333333333333333,753.8431019999998,1784.902994,1031.0598920000002,1784.902994,0.18810809165682907,True,False,False,False,False,False
394,5,early,16,2104.767247,20,early,3822.006954,0.6060150375939849,False,False,False,0.3333333333333333,705.5825249999998,1017.8025610000004,312.2200360000006,866.9691730000004,0.40355337184478524,True,False,False,False,False,False
394,13,late,16,4010.096965,12,N16_late,1916.677236,-0.5734265734265735,False,False,False,0.0,1121.9065359999995,0.0,-1121.9065359999995,-599.6853549999996,0.511365951017254,True,False,False,False,False,False
394,14,late,16,4479.640789,11,N16_late,1447.1334120000001,-0.16363636363636366,False,False,False,0.0,618.1484659999996,0.0,-618.1484659999996,-334.30574499999966,0.339859235202462,True,False,False,False,False,False
395,15,late,16,4210.307678,10,N16_late,1341.2722249999997,0.6121212121212121,False,False,True,0.6666666666666666,77.65188799999942,165.92683299999953,88.27494500000012,165.92683299999953,0.5686015972213245,True,False,False,False,True,False
395,16,late,16,4295.289821,9,N16_late,1256.2900819999995,0.75,False,False,True,0.6666666666666666,64.8418529999999,47.62295999999969,-17.218893000000207,47.62295999999969,0.2577846784323433,True,True,False,False,True,False
395,17,late,16,4539.97301,8,late,1011.6068930000001,0.5714285714285715,False,False,True,0.3333333333333333,22.697807000000466,14.025556999999935,-8.672250000000531,14.025556999999935,0.1486351364863514,False,False,False,False,False,False
395,18,late,16,4969.25446,7,N16_late,582.3254429999997,0.28571428571428575,False,False,False,0.3333333333333333,176.40114300000005,140.5734849999999,-35.827658000000156,0.0,0.033791191074998395,True,False,False,False,True,False
396,7,early,16,2243.898754,18,early,5704.68761,0.054695562435500514,False,False,False,0.3333333333333333,738.0358070000002,1571.017479,832.9816719999999,1428.548578,0.3331360951160135,True,True,False,False,False,False
396,9,middle,16,2912.518959,16,middle,5036.067405,-0.31764705882352945,False,False,False,0.3333333333333333,289.6116549999997,1129.7064529999998,840.0947980000001,840.0947980000001,0.252618118942192,True,False,False,False,False,False
396,10,middle,16,3477.998644,15,middle,4470.5877199999995,-0.017857142857142853,False,False,False,0.0,1162.8662080000008,1422.4870669999996,259.62085899999875,799.3538419999991,0.5632908027553639,True,False,True,False,False,False
396,13,middle,16,4735.795751,12,middle,3212.790613,-0.3467606018274814,False,False,False,0.3333333333333333,1315.1637060000003,1100.781844,-214.38186200000018,946.4477980000001,0.5107807876165162,True,False,False,False,False,False
396,20,late,16,6395.161118,5,N16_late,1553.4252459999998,0.19999999999999998,False,False,True,0.6666666666666666,321.1073030000007,568.859093,247.75178999999935,568.859093,0.06002962500974507,True,False,False,False,True,False
397,1,early,16,119.0,24,early,5454.873573,0.34181344578423883,False,False,False,0.0,502.9997279999998,410.1705089999996,-92.8292190000002,0.0,0.00033135445946463893,True,True,False,False,False,False
398,3,early,16,1324.757322,22,early,5007.442088,-0.25014116318464147,False,False,False,0.0,782.5088820000001,675.7063990000006,-106.80248299999948,393.2214869999989,0.6269029655530818,False,False,False,False,False,False
398,14,late,16,4140.832162,11,late,2191.3672480000005,-0.5363636363636364,False,False,False,0.0,1803.7741590000005,1032.8694240000004,-770.9047350000001,-639.9665379999997,0.25783381012574014,False,False,False,False,False,False
398,18,late,16,5039.685957,7,N16_late,1292.5134530000005,0.25,False,False,True,0.6666666666666666,418.6688549999999,259.2439800000002,-159.4248749999997,259.2439800000002,0.03587470803138293,True,False,False,False,True,False
399,6,middle,16,1649.797793,19,middle,3570.6076410000005,-0.3333333333333333,False,False,False,0.0,2032.3025319999997,433.39583500000026,-1598.9066969999994,-361.45652100000007,0.6241069431571903,False,False,False,False,False,False
400,5,early,16,1576.996197,20,early,4078.4415489999997,-0.41804511278195483,False,False,False,0.0,1925.2249909999987,0.25419399999918824,-1924.9707969999995,-922.2525950000013,0.4806370267684442,True,True,False,False,False,False
400,11,middle,16,3980.418776,14,middle,1675.0189699999996,-0.1824175824175824,False,False,False,0.3333333333333333,242.69452999999976,407.3349419999995,164.64041199999974,164.64041199999974,0.6179512331491946,True,False,False,False,True,False
400,14,late,16,4545.849767,11,N16_late,1109.587979,0.2545454545454546,False,False,False,0.0,684.0614339999993,85.84349799999927,-598.217936,-74.20325400000002,0.33897712365955823,True,True,False,False,False,False
400,16,late,16,4871.83191,9,N16_late,783.6058359999997,0.33333333333333337,False,False,False,0.3333333333333333,205.78871100000015,0.0,-205.78871100000015,-205.78871100000015,0.2054897611597417,True,True,False,False,True,True
