id,step,group,N,node,probability,cost,gain,prediction_rank,cost_rank,hit,quick_clear,release16
663,5,early,11,18,0.8789686732449069,7033.781701,-890.9801360000001,2.0,16.0,True,False,False
663,5,early,11,19,0.7199926516182913,5948.955052,193.8465129999995,14.0,2.0,True,False,False
663,6,early,11,0,0.020745764722408744,5841.801565,0.0,19.0,3.0,False,False,False
663,6,early,11,1,0.3966470176075455,5944.54404,-102.74247500000001,17.0,5.0,True,False,False
663,6,early,11,2,0.6814942716247832,5677.307629,164.49393599999985,11.0,2.0,True,False,False
663,6,early,11,3,0.6421477549181265,5666.151893,175.64967199999955,13.0,1.0,True,False,False
663,6,early,11,4,0.7029593614034839,6490.222129,-648.420564,9.0,10.0,True,False,False
663,6,early,11,5,0.7763415796128164,6671.0324390000005,-829.2308740000008,4.0,11.0,False,False,False
663,6,early,11,6,0.7298859777953004,6248.328188,-406.52662300000065,6.0,9.0,False,False,False
663,6,early,11,7,0.7095676146214815,6850.224312,-1008.4227470000005,8.0,14.0,True,False,False
663,6,early,11,8,0.8446915072827209,7165.518153000001,-1323.7165880000011,1.0,15.0,True,False,False
663,6,early,11,9,0.7762465230924825,6703.462561,-861.6609960000005,5.0,12.0,True,False,False
663,6,early,11,10,0.729347766188825,6220.361152,-378.55958700000065,7.0,7.0,True,False,False
663,6,early,11,11,0.7029284448635768,7682.907572,-1841.1060070000003,10.0,17.0,False,False,False
663,6,early,11,12,0.6787118186733414,7977.141029,-2135.3394640000006,12.0,19.0,False,False,False
663,6,early,11,13,0.6387123161329689,7972.354119,-2130.552554,14.0,18.0,False,False,False
663,6,early,11,14,0.38546357535137477,7386.476441000001,-1544.674876000001,18.0,16.0,False,False,False
663,6,early,11,15,0.5284164936688758,6024.710987,-182.90942200000063,16.0,6.0,False,False,False
663,6,early,11,16,0.8174921015517979,5926.802488,-85.00092300000051,3.0,4.0,False,False,False
663,6,early,11,17,0.8185138764579587,6779.801207,-937.9996420000007,2.0,13.0,True,False,False
663,6,early,11,18,0.5308379800919377,6230.81972,-389.01815500000066,15.0,8.0,True,False,False
664,0,early,12,0,0.996108384677589,7232.929893,0.0,1.0,2.0,True,False,False
664,0,early,12,1,0.9884761912326466,7822.063822,-589.1339289999996,5.0,14.0,True,False,False
664,0,early,12,2,0.9884835720847396,7784.503161,-551.5732679999992,4.0,12.0,True,False,False
664,0,early,12,3,0.8334448530614802,7689.184371,-456.25447799999984,24.0,11.0,True,False,False
664,0,early,12,4,0.8593481230082713,7860.593635,-627.6637419999997,16.5,17.0,True,False,False
664,0,early,12,5,0.913016104436036,7660.11867,-427.1887769999994,12.0,10.0,True,False,False
664,0,early,12,6,0.8339176192276415,7601.785168,-368.8552749999999,21.0,7.0,True,False,False
664,0,early,12,7,0.8596272587920986,7818.459683,-585.5297899999996,15.0,13.0,False,False,False
664,0,early,12,8,0.9132230277411864,7577.600868,-344.670975,10.0,6.0,False,False,False
664,0,early,12,9,0.8335904547469071,8149.715489,-916.7855959999997,23.0,22.0,True,False,False
664,0,early,12,10,0.9884628945388296,7412.975528,-180.0456349999995,6.0,5.0,True,False,False
664,0,early,12,11,0.988576192470848,7921.829019,-688.8991259999993,2.0,19.0,True,False,False
664,0,early,12,12,0.9131639541965223,7617.264563,-384.3346699999993,11.0,8.0,True,False,False
664,0,early,12,13,0.8590684633682323,7219.696022,13.233871000000363,19.0,1.0,False,False,False
664,0,early,12,14,0.8339902399204127,7860.704587,-627.7746939999997,20.0,18.0,True,False,False
664,0,early,12,15,0.9135080162075038,8961.560922,-1728.6310290000001,8.0,24.0,True,False,False
664,0,early,12,16,0.8601376502285261,8988.541681,-1755.6117880000002,14.0,25.0,True,False,False
664,0,early,12,17,0.8338631340241456,8214.30329,-981.3733969999994,22.0,23.0,True,False,False
664,0,early,12,18,0.9133213994705629,7321.92153,-88.99163699999917,9.0,3.0,False,False,False
664,0,early,12,19,0.8590995625598239,7389.515133,-156.58523999999943,18.0,4.0,True,False,False
664,0,early,12,20,0.8332991310898219,7857.896078,-624.9661849999993,25.0,16.0,True,False,False
664,0,early,12,21,0.8593481230082713,7844.758453,-611.8285599999999,16.5,15.0,True,False,False
664,0,early,12,22,0.9129075304908125,7633.477404,-400.54751099999976,13.0,9.0,True,False,False
664,0,early,12,23,0.9884377393674262,8079.288017,-846.3581239999994,7.0,21.0,True,False,False
664,0,early,12,24,0.9885262938354676,7955.861098,-722.9312049999999,3.0,20.0,True,False,False
664,3,early,12,0,0.49725898826723003,5957.607871,0.0,16.0,1.0,False,False,False
664,3,early,12,1,0.5375125265832884,6766.005525,-808.3976539999994,13.0,9.0,True,False,False
664,3,early,12,2,0.4916404951362281,6885.357708,-927.7498369999994,17.0,10.0,False,False,False
664,3,early,12,3,0.4795635864682736,6936.460246999999,-978.8523759999989,19.0,13.0,True,False,False
664,3,early,12,4,0.30738333472993207,6713.016117,-755.408246,22.0,8.0,True,False,False
664,3,early,12,5,0.5598245346152073,7105.709886000001,-1148.1020150000004,12.0,17.0,True,False,False
