seed,index,remaining,r12_m,reference_m,gap,saving_s,reference_kind,reference_wall_s,r12_wall_s
0,23,6,4611.803408016477,4593.387463030953,0.00400922960097349,3.683188997104844,exact_dp_fp64,2.6000052457675338e-06,0.00021609998657368124
0,24,3,2623.707115395546,2623.707115395546,0.0,0.0,exact_dp_fp64,1.100008375942707e-06,0.0001630000042496249
0,25,3,2591.100249895354,2591.100249895354,0.0,0.0,exact_dp_fp64,6.00004568696022e-07,0.00015889998758211732
0,26,1,973.6075481206614,973.6075481206614,0.0,0.0,exact_dp_fp64,7.00005330145359e-07,7.129998994059861e-05
0,27,1,974.3166331565968,974.3166331565968,0.0,0.0,exact_dp_fp64,6.00004568696022e-07,7.789999654050916e-05
0,28,1,998.8214234869187,998.8214234869187,0.0,0.0,exact_dp_fp64,5.00003807246685e-07,4.579999949783087e-05
0,29,1,1098.383658045403,1098.383658045403,0.0,0.0,exact_dp_fp64,4.999892553314567e-07,5.4500007536262274e-05
0,30,1,1123.1441552904778,1123.1441552904778,0.0,0.0,exact_dp_fp64,5.00003807246685e-07,4.810000245925039e-05
1,0,23,18162.336362087917,17433.83113376058,0.04178686960645083,145.70104566546723,multistart_2opt_relocate,0.01905399998940993,0.0055939999874681234
1,1,23,18170.592738854473,17442.087510527137,0.04176708939727818,145.70104566546723,multistart_2opt_relocate,0.0020711999968625605,0.003053000007639639
1,2,23,18637.542063022876,17198.94755135373,0.08364433389739104,287.7189023338295,multistart_2opt_relocate,0.0018133999983547255,0.002923499996541068
1,3,23,18484.752851030506,17046.158339361355,0.08439406011777366,287.7189023338302,multistart_2opt_relocate,0.0018435000092722476,0.0032685999904060736
1,4,23,18478.807529519072,17040.213017849925,0.0844235051617133,287.7189023338295,multistart_2opt_relocate,0.001866199992946349,0.004113500006496906
1,5,22,16635.27149526926,16530.13114672058,0.006360527186109831,21.028069709735426,multistart_2opt_relocate,0.002217200002633035,0.007632799999555573
1,6,22,16313.707174140472,16264.998111353078,0.002994716781024136,9.741812557478989,multistart_2opt_relocate,0.0018177000019932166,0.008515199995599687
1,7,22,16272.83279909425,16272.83279909425,0.0,0.0,multistart_2opt_relocate,0.0017960999975912273,0.0051041999977314845
1,8,20,15063.15803687041,15063.15803687041,0.0,0.0,multistart_2opt_relocate,0.0013026999949943274,0.002290999997057952
