audit,delta,directional_count,full,historical_B,historical_failed,id,revised_B,revised_failed,scene_hash,total
True,0.0,3,True,420.56815973333335,0,37,420.56815973333335,0,4d923ddeb67b67e038891a52e7d178b6f877654f0740252a16bf1bb3d0fe5e14,15
True,0.0,2,True,641.0205533999999,0,38,641.0205533999999,0,3643b2eda9a702cb4fe0c8e9d240fcba45fe939c0715a04f0b675b27df69ccb1,10
True,0.0,6,True,681.4262843636363,0,39,681.4262843636363,0,e6ba0a7631e460c49164968eefce10481a5f59e17b82074559e83698ca24313f,11
True,0.0,14,True,363.391876875,0,40,363.391876875,0,fd1a50928fca582ea1b8444f20ef1402192833be974960f41e57baf95783ff96,16
True,-0.003489133333346217,11,True,432.6401572666667,0,41,432.63666813333333,0,79b3ad9572fb1fa0abbe2345432720dfc2fd1bd93f072828a8bac7f3e03083db,15
True,0.0,10,True,683.2920874,0,42,683.2920874,0,042779d14a0c6d149779c13e553eab359806c319170162c72ff609292cc149ea,10
True,0.0,5,True,522.8210762857143,0,43,522.8210762857143,0,f97d64d139dd71754fa320ac60c124ab58e6e529de135ce024bffdef267d2dcb,14
True,0.0,10,True,577.6630733636364,0,44,577.6630733636364,0,f8956481f09d8170e06fffeed4ec46c1cf630229d13dbbdc3f31c130ac1e3fd4,11
True,0.0,4,True,613.9594128181818,0,45,613.9594128181818,0,17cf8774a2b8bb53b535a868263ac257c84b4986ebc36e03e02a5db92f293d93,11
True,0.2732435454545339,8,True,621.066341,0,46,621.3395845454545,0,57a52fa06f11b6e8939fddd1ac3f02eb6308bfbad5554416e0c9db325c7abf5c,11
True,0.0,9,True,663.1565704,0,47,663.1565704,0,760fa12fd6ba1c320d73780316288e14e14465d5e2330d3eb6cc5b702814d1e4,10
True,0.0,8,True,391.3895958,0,48,391.3895958,0,35814dc2cdd906f3fce94ff2322522577cb8444a39fff9c634a6a77087b93607,15
True,0.0,12,True,594.30724375,0,49,594.30724375,0,31597d34d3d2864ee3e30f59174f7985b73512c0481418ec391da82240f800aa,12
True,-0.00018786666674941443,7,True,437.44036520000003,0,50,437.4401773333333,0,1dcf8e0af2ea032d726288ee2787c78f90c30239e5d3996b5a72bcf83bdc6e30,15
True,0.0,8,True,599.5542385454545,0,51,599.5542385454545,0,c8c37d5d169e7744edb5231135fe84ce55203f9eb7ceb09b307f5d4c47baa097,11
True,-0.008945499999981621,9,True,652.1804562,0,52,652.1715107,0,06a2e0cf3ae9ce38885c75d580c20667f6fd885597fa6719a918ac22f9e268fb,10
True,0.0,11,True,495.58962115384617,0,53,495.58962115384617,0,328dbf7d4fecb6796d6e2905197eefd77c112abcd0276f4d28e5ec09d853a001,13
True,0.22040159999994557,6,True,639.3278086,0,54,639.5482102,0,33bc6a6c36408d8b1163fe81865a4d1806715489356fa5d24b1a8a1cdb280f1d,10
