cohort,method,id,N,baseline_s,candidate_s,delta_s,improvement_pct,distance_delta_m,measure_delta,post_known16_s,baseline_post_known16_s,trace_path
development,D,40,15,398.3281882,398.3281882,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0040.json.gz
development,D,41,16,404.3486715625,404.3486715625,0.0,0.0,0.0,0,1119.1211039999998,1119.1211039999998,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0041.json.gz
development,D,42,10,749.3346921,749.3346921,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0042.json.gz
development,D,43,11,616.7513343636364,616.7513343636364,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0043.json.gz
development,D,44,12,576.7914024166666,576.7914024166666,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0044.json.gz
development,D,45,13,523.989113923077,523.989113923077,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0045.json.gz
development,D,46,14,488.30238107142856,488.30238107142856,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0046.json.gz
development,D,47,15,488.29182306666667,488.29182306666667,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0047.json.gz
development,D,48,16,380.870659,380.870659,0.0,0.0,0.0,0,406.1644729999998,406.1644729999998,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0048.json.gz
development,D,49,10,687.3151223,687.3151223,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0049.json.gz
development,D,50,11,625.0649953636364,625.0649953636364,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0050.json.gz
development,D,51,12,550.0745468333333,550.0745468333333,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0051.json.gz
development,D,52,13,669.4000394615384,669.4000394615384,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0052.json.gz
development,D,53,14,499.1665454285714,499.1665454285714,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0053.json.gz
development,D,54,15,472.1493514,472.1493514,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0054.json.gz
development,D,55,16,411.857347625,411.857347625,0.0,0.0,0.0,0,272.073351,272.073351,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0055.json.gz
development,D,56,10,623.7538196,623.7538196,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0056.json.gz
development,D,57,11,604.1780819090909,604.1780819090909,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0057.json.gz
development,D,58,12,619.8166700833334,619.8166700833334,0.0,0.0,0.0,0,,,J:\2026B_experiments\q4-r13-routing-study\r13\results\development\core\traces\D_0058.json.gz
