cohort,method,id,kind,time_s,remaining_nodes,remaining_targets,nearest_node_m,accepted,index,point,estimated_cost,direct_cost,estimated_value_s,travel_m
regression,D,215,support_decision,2238.621154,,,,False,18.0,"[-485.0, 840.0446416709054]",680.8376562239868,452.66166586845367,-228.1759903555331,211.20892667484628
regression,D,215,support_decision,2360.207056,,,,False,18.0,"[-485.0, 840.0446416709054]",388.14114188540617,318.9125509531882,-69.22859093221797,139.30997241237282
regression,D,215,support_decision,2556.818763,,,,False,19.0,"[-970.0, 0.0]",675.70847953699,608.5394657124757,-67.16901382451431,199.05715957313527
regression,D,215,support_decision,2572.703892,,,,False,19.0,"[-970.0, 0.0]",310.5538262303989,229.7343474847234,-80.8194787456755,153.5075040219407
regression,D,215,support_decision,2762.857879,,,,False,12.0,"[-1455.0, -840.0446416709054]",513.969747649907,491.43300967622895,-22.5367379736781,687.6192609022737
regression,D,215,support_decision,2875.381094,,,,False,12.0,"[-1455.0, -840.0446416709054]",144.84335154221645,102.84942556692641,-41.99392597529004,475.52902192569377
regression,D,215,support_decision,2969.784682,,,,False,9.0,"[0.0, -1680.0892833418109]",648.1929000871785,537.1865596545905,-111.00634043258799,1751.4110732522117
regression,D,216,release,5699.748738,3.0,1.0,969.9999999999999,,,,,,,
regression,D,216,support_decision,5699.748738,,,,False,1.0,"[1619.4675050769001, -935.0]",605.8093048811711,480.8773733969582,-124.9319314842129,988.4159449855241
regression,D,217,release,3355.97276,13.0,5.0,969.9999999999999,,,,,,,
regression,D,217,support_decision,3355.97276,,,,False,0.0,"[-970.0, 0.0]",636.2535798495254,454.9101424228719,-181.3434374266535,969.9999999999999
regression,D,217,support_decision,3460.889713,,,,False,1.0,"[-1455.0, 840.0446416709054]",274.08461665374045,121.09691502867958,-152.98770162506088,615.3306632837509
regression,D,217,support_decision,3557.766296,,,,False,0.0,"[-970.0, 0.0]",296.73364154988064,291.17978546593855,-5.553856083942094,757.2024784730916
regression,D,217,support_decision,3838.687474,,,,False,0.0,"[-970.0, 0.0]",561.4819981667284,288.12236899173786,-273.3596291749906,597.4206991341771
