question,new_run,time_s,radius_m,field,old,new,new_minus_old
q2,EXP102_B_Q23_S0__cuda001,1800.0,0.005,C,2.548865659106079,2.5485567648604466,-0.00030889424563262935
q2,EXP102_B_Q23_S0__cuda001,1800.0,0.01,T,32.96672734271086,32.96725786856791,0.0005305258570516003
q2,EXP102_B_Q23_S0__cuda001,1800.0,0.01,C,2.5254949600316174,2.523729255774117,-0.0017657042575005555
q2,EXP102_B_Q23_S0__cuda001,1800.0,0.015,T,33.96141752564128,33.9616715158935,0.0002539902522187276
q2,EXP102_B_Q23_S0__cuda001,1800.0,0.015,C,2.3257633527434884,2.3232032453367677,-0.0025601074067207463
q2,EXP102_B_Q23_S0__cuda001,1800.0,0.02,T,35.413719681260794,35.412407282133984,-0.0013123991268102486
q2,EXP102_B_Q23_S0__cuda001,1800.0,0.02,C,1.648654575522525,1.6492487022647817,0.0005941267422566732
q2,EXP102_B_Q23_S0__cuda001,3600.0,0.0,T,40.38220597055621,40.38380605925198,0.0016000886957741045
q2,EXP102_B_Q23_S0__cuda001,3600.0,0.0,C,2.52565916552823,2.524448750122507,-0.0012104154057230865
q2,EXP102_B_Q23_S0__cuda001,3600.0,0.005,T,40.55418829198154,40.55469496557657,0.0005066735950336465
q2,EXP102_B_Q23_S0__cuda001,3600.0,0.005,C,2.4947140828585614,2.493371764879684,-0.0013423179788776274
q2,EXP102_B_Q23_S0__cuda001,3600.0,0.01,T,41.06092881899743,41.060763972053564,-0.000164846943867758
q2,EXP102_B_Q23_S0__cuda001,3600.0,0.01,C,2.357793976809057,2.3565640370403607,-0.00122993976869612
q2,EXP102_B_Q23_S0__cuda001,3600.0,0.015,T,41.878376069565306,41.878285212521064,-9.085704424194319e-05
q2,EXP102_B_Q23_S0__cuda001,3600.0,0.015,C,2.0229990342076687,2.0226866037573896,-0.00031243045027906646
q2,EXP102_B_Q23_S0__cuda001,3600.0,0.02,T,43.00010815091509,42.99700453474264,-0.003103616172445811
q2,EXP102_B_Q23_S0__cuda001,3600.0,0.02,C,1.4710852417784452,1.47193169484424,0.0008464530657947833
q2,EXP102_B_Q23_S0__cuda001,5400.0,0.0,T,45.84677490764771,45.847552619698035,0.0007777120503220658
q2,EXP102_B_Q23_S0__cuda001,5400.0,0.0,C,2.3859930408453627,2.384424423271609,-0.0015686175737537056
q2,EXP102_B_Q23_S0__cuda001,5400.0,0.005,T,45.93482944126247,45.93505142396248,0.0002219827000047303
q2,EXP102_B_Q23_S0__cuda001,5400.0,0.005,C,2.3255853665143156,2.324480202663416,-0.0011051638508994266
q2,EXP102_B_Q23_S0__cuda001,5400.0,0.01,T,46.192984710619534,46.192813958007605,-0.0001707526119290037
q2,EXP102_B_Q23_S0__cuda001,5400.0,0.01,C,2.1343982079826844,2.1339284785748527,-0.00046972940783174266
q2,EXP102_B_Q23_S0__cuda001,5400.0,0.015,T,46.605241653233826,46.60473796371639,-0.000503689517437067
q2,EXP102_B_Q23_S0__cuda001,5400.0,0.015,C,1.802024388784702,1.8020856240358891,6.123525118706397e-05
q2,EXP102_B_Q23_S0__cuda001,5400.0,0.02,T,47.13956185726509,47.139175657102214,-0.00038620016287893577
q2,EXP102_B_Q23_S0__cuda001,5400.0,0.02,C,1.3475508157675067,1.3481534182891544,0.0006026025216476771
q2,EXP102_B_Q23_S0__cuda001,7200.0,0.0,T,48.45007538686532,48.45045094521231,0.000375558346988214
q2,EXP102_B_Q23_S0__cuda001,7200.0,0.0,C,2.1708257676158986,2.169660710523389,-0.0011650570925096915
q2,EXP102_B_Q23_S0__cuda001,7200.0,0.005,T,48.48789895505053,48.488037727993515,0.00013877294298225706
q2,EXP102_B_Q23_S0__cuda001,7200.0,0.005,C,2.108415347075089,2.107717033426556,-0.0006983136485332331
q2,EXP102_B_Q23_S0__cuda001,7200.0,0.01,T,48.59827962677238,48.59826737581295,-1.2250959429138675e-05
q2,EXP102_B_Q23_S0__cuda001,7200.0,0.01,C,1.9236224673816071,1.9233925115230037,-0.0002299558586034145
q2,EXP102_B_Q23_S0__cuda001,7200.0,0.015,T,48.77342588460673,48.77333796660281,-8.791800392060622e-05
q2,EXP102_B_Q23_S0__cuda001,7200.0,0.015,C,1.625934204264145,1.625960643337426,2.643907328114814e-05
q2,EXP102_B_Q23_S0__cuda001,7200.0,0.02,T,49.00319060814557,49.00295898213494,-0.00023162601063120292
q2,EXP102_B_Q23_S0__cuda001,7200.0,0.02,C,1.2310728995171747,1.2314940916202612,0.00042119210308655397
q2,EXP102_B_Q23_S0__cuda001,9000.0,0.0,T,49.466856839508694,49.466963982454786,0.00010714294609215358
q2,EXP102_B_Q23_S0__cuda001,9000.0,0.0,C,1.9566398109397232,1.9557899959908274,-0.0008498149488957996
