id,N,group,spearman,top1,top3,pred_gain,best_gain,top3_gain,hit,R12hit,pred_release,R12release
15,16,early,0.030876278181527935,False,False,-837.4982889999992,1601.0859210000008,0.0,True,True,False,False
15,16,N16_late,0.049999999999999996,False,False,-442.78839399999924,0.0,0.0,True,True,False,False
16,16,N16_late,0.432967032967033,True,True,0.0,0.0,0.0,True,True,True,True
17,16,early,0.14003044471059148,False,False,-906.665731,1122.3673740000004,0.0,False,True,False,False
18,16,N16_late,0.3,False,True,184.0669399999997,244.60835299999962,244.60835299999962,True,False,True,False
18,16,N16_late,-0.5,False,True,-330.6727030000002,0.0,0.0,True,False,True,False
19,16,middle,0.3538461538461538,False,True,515.7890600000001,546.3892399999995,546.3892399999995,True,False,True,False
19,16,N16_late,0.46363636363636374,True,True,326.31830699999955,326.31830699999955,326.31830699999955,True,True,True,False
19,16,N16_late,0.43030303030303024,True,True,261.6980649999996,261.6980649999996,261.6980649999996,True,False,True,False
20,16,N16_late,0.6785714285714285,True,True,637.3393349999997,637.3393349999997,637.3393349999997,True,True,True,False
20,16,late,0.04195804195804196,False,False,-119.77903700000024,94.66533200000049,0.0,True,False,True,False
20,16,N16_late,0.18181818181818182,False,False,-363.5401750000001,0.0,0.0,True,True,True,True
21,16,N16_late,0.06428571428571428,False,False,-2596.1086850000006,237.0069029999995,0.0,True,False,False,False
21,16,late,0.178021978021978,False,False,-1027.547141,175.1287029999994,0.0,True,False,False,False
21,16,late,0.6573426573426573,False,False,-58.036614000000554,353.8946339999993,0.0,True,True,True,False
22,16,middle,0.3411764705882353,False,False,-350.4839320000001,0.0,0.0,True,True,False,False
22,16,N16_late,-0.0790277206784084,False,False,-307.2681999999995,11.443169000000125,0.0,True,True,False,False
22,16,late,0.42857142857142866,False,False,107.20794300000034,129.19517300000007,107.20794300000034,True,False,True,False
23,16,middle,0.18627450980392157,False,False,153.43771800000013,556.5624969999999,351.2158980000004,True,False,False,False
24,16,early,-0.556390977443609,False,False,85.14097200000015,478.7631190000002,85.14097200000015,True,True,False,False
25,16,middle,0.16783216783216784,False,True,-20.48740099999941,222.56189500000073,222.56189500000073,True,False,False,False
25,16,N16_late,0.7999999999999999,False,True,134.37110100000064,151.64747500000067,151.64747500000067,True,False,True,False
25,16,N16_late,-0.5,False,True,-0.44786799999928917,0.0,0.0,True,True,True,True
26,16,early,0.5116883116883117,False,False,1617.1575870000006,1774.5270639999999,1617.1575870000006,True,False,False,False
26,16,middle,0.7378740970072238,False,True,392.6566010000006,1301.0045369999998,1301.0045369999998,True,True,False,False
26,16,middle,0.4460784313725491,False,False,1208.2973309999998,1254.6195710000002,1224.1462769999998,True,True,True,False
26,16,middle,0.5705882352941177,False,False,528.053543,1675.435896,1377.3324819999998,False,False,False,False
26,16,N16_late,0.261904761904762,False,True,-392.68392200000017,202.3386760000003,202.3386760000003,False,False,False,False
27,16,early,0.29223744983079963,False,False,-343.7870490000005,725.7026040000001,180.7516799999994,True,True,False,False
27,16,N16_late,-0.08571428571428573,False,False,-326.48008200000004,0.0,0.0,True,True,True,True
28,16,N16_late,0.14285714285714288,False,False,51.038532999999916,90.59751899999992,51.038532999999916,True,True,False,False
29,16,N16_late,-0.7999999999999999,False,False,0.0,346.3130629999996,74.77049899999929,False,False,False,False
30,16,early,0.3719298245614035,False,False,861.2673690000001,899.5468680000004,861.2673690000001,True,False,False,False
30,16,N16_late,0.4642857142857144,False,True,-55.30959299999995,219.66398200000003,219.66398200000003,True,False,True,False
31,16,early,0.0678408365678642,False,False,-254.5034029999997,1401.7776870000007,13.75422300000082,True,True,False,False
32,16,early,0.15037593984962402,False,False,696.916013,2943.322218,836.8318099999997,True,False,False,False
32,16,early,0.08771929824561404,False,False,54.961749999998574,2454.3222179999993,646.4137769999998,True,False,False,False
33,16,early,0.5281785056349613,False,False,0.0,1374.4655329999996,959.2707540000001,True,True,False,False
33,16,early,-0.35187969924812035,False,False,-182.02699900000061,1172.3363789999994,98.68847800000003,True,True,False,False
33,16,early,-0.3869969040247678,False,False,-360.9215410000006,1667.8797409999997,248.0118769999999,True,False,False,False
33,16,middle,-0.221978021978022,False,False,476.8299849999994,1289.2188219999998,476.8299849999994,True,False,False,False
34,16,early,0.3643008338210548,False,False,0.0,1200.2001469999996,544.542993,True,True,False,False
34,16,early,0.14944772485608962,False,False,792.3974509999998,1300.639072,792.3974509999998,True,False,False,False
34,16,early,0.3142857142857143,False,False,582.56718,674.8243699999994,582.56718,True,False,False,False
34,16,middle,0.4035714285714285,True,True,773.8288049999992,773.8288049999992,773.8288049999992,True,True,True,False
34,16,N16_late,0.4424242424242424,False,False,117.87059599999975,282.31185599999935,117.87059599999975,True,False,True,False
34,16,late,-0.2333333333333333,False,False,-1318.5392170000005,0.0,0.0,False,False,False,False
35,16,middle,0.20383963862224735,False,False,-1381.0573850000005,0.0,0.0,True,True,False,False
35,16,N16_late,0.36315789473684207,False,False,-500.77826900000036,0.0,0.0,True,True,False,False
