id,cohort,family,total,comparison,delta_s_per_source,delta_percent,delta_total_s,baseline_s_per_source,valid
39,evaluation,strict_mixed_stratified,12,R12-R2,0.0,0.0,0.0,619.8706448333334,True
40,evaluation,strict_mixed_stratified,13,R1-R0,0.0,0.0,0.0,726.6305131538461,True
40,evaluation,strict_mixed_stratified,13,R2-R0,-108.62249699999995,-14.94879378634101,-1412.0924609999993,726.6305131538461,True
40,evaluation,strict_mixed_stratified,13,R12-R0,-108.62249699999995,-14.94879378634101,-1412.0924609999993,726.6305131538461,True
40,evaluation,strict_mixed_stratified,13,R12-R1,-108.62249699999995,-14.94879378634101,-1412.0924609999993,726.6305131538461,True
40,evaluation,strict_mixed_stratified,13,R12-R2,0.0,0.0,0.0,618.0080161538461,True
41,evaluation,strict_mixed_stratified,14,R1-R0,0.0,0.0,0.0,665.3574887142858,True
41,evaluation,strict_mixed_stratified,14,R2-R0,-128.97450942857142,-19.38424254873833,-1805.6431320000002,665.3574887142858,True
41,evaluation,strict_mixed_stratified,14,R12-R0,-128.97450942857142,-19.38424254873833,-1805.6431320000002,665.3574887142858,True
41,evaluation,strict_mixed_stratified,14,R12-R1,-128.97450942857142,-19.38424254873833,-1805.6431320000002,665.3574887142858,True
41,evaluation,strict_mixed_stratified,14,R12-R2,0.0,0.0,0.0,536.3829792857143,True
42,evaluation,strict_mixed_stratified,15,R1-R0,0.0,0.0,0.0,609.8569716666666,True
42,evaluation,strict_mixed_stratified,15,R2-R0,-136.7135047333333,-22.417306202093837,-2050.702571,609.8569716666666,True
42,evaluation,strict_mixed_stratified,15,R12-R0,-136.7135047333333,-22.417306202093837,-2050.702571,609.8569716666666,True
42,evaluation,strict_mixed_stratified,15,R12-R1,-136.7135047333333,-22.417306202093837,-2050.702571,609.8569716666666,True
42,evaluation,strict_mixed_stratified,15,R12-R2,0.0,0.0,0.0,473.1434669333333,True
43,evaluation,strict_mixed_stratified,16,R1-R0,0.3890328124999769,0.07638067210189874,6.22452499999963,509.3341048125,True
43,evaluation,strict_mixed_stratified,16,R2-R0,-94.24733475,-18.504029842002243,-1507.957356,509.3341048125,True
43,evaluation,strict_mixed_stratified,16,R12-R0,-103.01486750000004,-20.225401465688748,-1648.2378800000006,509.3341048125,True
43,evaluation,strict_mixed_stratified,16,R12-R1,-103.40390031250001,-20.286287335179512,-1654.4624050000002,509.723137625,True
43,evaluation,strict_mixed_stratified,16,R12-R2,-8.767532750000044,-2.1122168621948387,-140.2805240000007,415.0867700625,True
44,evaluation,strict_mixed_stratified,10,R1-R0,0.0,0.0,0.0,919.6014915,True
44,evaluation,strict_mixed_stratified,10,R2-R0,-233.8465959,-25.42912316492258,-2338.465959,919.6014915,True
44,evaluation,strict_mixed_stratified,10,R12-R0,-233.8465959,-25.42912316492258,-2338.465959,919.6014915,True
44,evaluation,strict_mixed_stratified,10,R12-R1,-233.8465959,-25.42912316492258,-2338.465959,919.6014915,True
44,evaluation,strict_mixed_stratified,10,R12-R2,0.0,0.0,0.0,685.7548955999999,True
45,evaluation,strict_mixed_stratified,11,R1-R0,0.0,0.0,0.0,842.7746567272727,True
