time_s,r_m,Ta_K,Ca_kgkg,Tb_K,Cb_kgkg,abs_dT_K,abs_dC_kgkg
1200.0,0.0,303.6961609569003,2.5499997779537984,303.6937727617662,2.549999953090638,0.0023881951341309104,1.7513683969738736e-07
1200.0,0.0001,303.69622743995313,2.5499997765254956,303.6938392080295,2.5499999527645274,0.0023882319236463445,1.7623903181274159e-07
1200.0,0.0005,303.6978230332204,2.54999974224623,303.69561849130304,2.5499999440320043,0.002204541917365077,2.0178577431195777e-07
1200.0,0.001,303.70354796276746,2.5499996192534935,303.70041831027345,2.5499999177125345,0.0031296524940103154,2.984590410370913e-07
1200.0,0.005,303.8622355356148,2.5499778082228906,303.86038647039055,2.549989915442384,0.0018490652242348915,1.2107219493628918e-05
1200.0,0.01,304.3740396411205,2.547435683467741,304.37277216870876,2.54799525503765,0.0012674724117118785,0.0005595715699087123
1200.0,0.015,305.2637155179965,2.4595874957308954,305.2628489685711,2.4633134383653674,0.0008665494253818906,0.0037259426344720126
1200.0,0.019,306.2787112380306,1.9306118278673132,306.2781124635564,1.9353487583131204,0.0005987744742128598,0.0047369304458071415
1200.0,0.0195,306.42379117376146,1.8099421192195362,306.4255730421037,1.8056196785862102,0.001781868342220605,0.004322440633325986
1200.0,0.02,306.5783500806907,1.65795684746211,306.57781465410693,1.6584309483700195,0.000535426583780918,0.00047410090790944714
1260.0,0.0,303.9704594438667,2.5499995988256847,303.96801655175676,2.5499999017347164,0.002442892109911554,3.0290903163532334e-07
1260.0,0.0001,303.97052835042376,2.549999596471453,303.96808542796964,2.54999990111072,0.002442922454122254,3.046392671457454e-07
1260.0,0.0005,303.9721821077939,2.5499995399698823,303.9699297798918,2.5499998844014877,0.0022523279021129383,3.4443160545905016e-07
1260.0,0.001,303.97811572798776,2.5499993372443406,303.97490502058736,2.549999834496125,0.00321070740039886,4.972517846368874e-07
1260.0,0.005,304.1424825152377,2.5499671562581003,304.14060926981193,2.5499838476663568,0.0018732454257701647,1.6691408256441775e-05
1260.0,0.01,304.6710930608717,2.546804182079841,304.66984675930837,2.547435803589008,0.0012463015633557006,0.0006316215091670685
1260.0,0.015,305.58327428930943,2.4510648373957293,305.58253416919314,2.4547418946007324,0.0007401201162906546,0.003677057205003109
1260.0,0.019,306.60603012393176,1.912930570235523,306.605702461758,1.917538952413647,0.00032766217373136897,0.004608382178123982
1260.0,0.0195,306.7502418247213,1.7921742470490332,306.751911272181,1.7879717769680221,0.0016694474597329645,0.004202470081011045
1260.0,0.02,306.90231585654226,1.6410517425731594,306.90208336838987,1.6413986540577636,0.00023248815239185205,0.0003469114846041954
1320.0,0.0,304.2540792083776,2.549999304599956,304.2516038408019,2.5499998059369653,0.0024753675756983284,5.013370092399327e-07
1320.0,0.0001,304.2541502529154,2.5499993008586213,304.25167486585104,2.5499998048067356,0.002475387064350798,5.039481143498392e-07
1320.0,0.0005,304.2558553218229,2.549999211066588,304.25357675883413,2.549999774541704,0.0022785629887493997,5.634751159000473e-07
1320.0,0.001,304.2619730459121,2.549998888896097,304.2587070487026,2.5499996848771893,0.003265997209496163,7.959810921498445e-07
1320.0,0.005,304.43127059293766,2.5499527080304767,304.4293997824816,2.5499750827810175,0.0018708104560687389,2.2374750540787858e-05
1320.0,0.01,304.9733510261647,2.54608040812041,304.9721403426305,2.546783872003557,0.0012106835342251543,0.0007034638831471263
1320.0,0.015,305.90276642989903,2.4424260559059725,305.9019052916593,2.4460482905730747,0.0008611382397134548,0.0036222346671022088
1320.0,0.019,306.9553305658563,1.8958122898268281,306.9545917705767,1.9003062788562348,0.0007387952795738784,0.004493989029406675
1320.0,0.0195,307.1061381922935,1.775008570379309,307.1080249861949,1.770920523240504,0.001886793901405781,0.004088047138804951
