audit,certified_clears,clear_attempts,cleared,completion_reason,device,discovery_nodes,distance_m,execution_backend,localization_observations,mean_time_per_source_s,measures,mixed,optical_fallbacks,policy,problem,runtime_s,seed,status,total,variant,virtual_time_s,wall_s
True,15,15,15,coverage_exhausted,cpu,7,16051.396991235943,LOCAL_DEV,44,267.285293,122,False,0,P3,3,0.9063846999924863,39,FULL_CLEAR,15,D,4009.279395,0.9066828999930294
True,15,15,15,coverage_exhausted,cpu,7,18407.944295026573,LOCAL_DEV,38,294.7725903333333,112,False,0,P3,3,1.017275799997151,40,FULL_CLEAR,15,A,4421.588855,1.0175640999950701
True,15,15,15,coverage_exhausted,cpu,7,16640.80295943977,LOCAL_DEV,37,274.9440394,121,False,0,P3,3,0.8675179999991087,40,FULL_CLEAR,15,D,4124.160591,0.8680458000017097
True,10,10,10,coverage_exhausted,cpu,7,13078.4447899234,LOCAL_DEV,30,338.4688959,121,False,0,P3,3,0.7873735000030138,41,FULL_CLEAR,10,A,3384.688959,0.787881299998844
True,10,10,10,coverage_exhausted,cpu,7,13730.202740092089,LOCAL_DEV,29,350.3040548,119,False,0,P3,3,0.7651542000094196,41,FULL_CLEAR,10,D,3503.040548,0.7656268999999156
True,13,13,13,coverage_exhausted,cpu,7,18403.645163491085,LOCAL_DEV,34,336.9791564615385,107,False,0,P3,3,0.8732962000067346,42,FULL_CLEAR,13,A,4380.729034,0.8737670999980764
True,13,13,13,coverage_exhausted,cpu,7,12143.164224476348,LOCAL_DEV,33,247.20252653846154,121,False,0,P3,3,0.7266937000094913,42,FULL_CLEAR,13,D,3213.632845,0.7272223999898415
True,14,14,14,coverage_exhausted,cpu,7,15685.668245892493,LOCAL_DEV,37,277.3666892857143,114,False,0,P3,3,0.9365671000123257,43,FULL_CLEAR,14,A,3883.13365,0.9370935000042664
True,14,14,14,coverage_exhausted,cpu,7,13599.580807462611,LOCAL_DEV,36,250.13686864285714,120,False,0,P3,3,1.019830199991702,43,FULL_CLEAR,14,D,3501.916161,1.0203514999884646
True,16,16,16,coverage_exhausted,cpu,7,17631.062149766196,LOCAL_DEV,40,260.0132769375,94,False,0,P3,3,1.098177100007888,44,FULL_CLEAR,16,A,4160.212431,1.0985958999954164
True,16,16,16,coverage_exhausted,cpu,7,15045.335913100504,LOCAL_DEV,42,232.129199,105,False,0,P3,3,0.7453471000044374,44,FULL_CLEAR,16,D,3714.067184,0.7458324000035645
True,15,15,15,coverage_exhausted,cpu,7,17709.85676539797,LOCAL_DEV,39,286.1980901333333,114,False,0,P3,3,0.9709436999983154,45,FULL_CLEAR,15,A,4292.971352,0.9714514999941457
True,15,15,15,coverage_exhausted,cpu,7,19128.83448851238,LOCAL_DEV,42,307.6511264,120,False,0,P3,3,1.0184044999914477,45,FULL_CLEAR,15,D,4614.766896,1.0189301000064006
True,14,14,14,coverage_exhausted,cpu,7,19872.8854556275,LOCAL_DEV,39,330.11264942857144,98,False,0,P3,3,1.0923599999950966,46,FULL_CLEAR,14,A,4621.577092,1.0926197999942815
True,14,14,14,coverage_exhausted,cpu,7,14340.0815612652,LOCAL_DEV,41,254.2868795,105,False,0,P3,3,0.9361637999973027,46,FULL_CLEAR,14,D,3560.016313,0.9366547999961767
True,11,11,11,coverage_exhausted,cpu,7,13963.605608885948,LOCAL_DEV,32,320.5201016363636,114,False,0,P3,3,0.7496425999997882,47,FULL_CLEAR,11,A,3525.721118,0.7503778999962378
