id,variant,channel,adopted,saving_us,planning_wall_s
23,B,5,True,3099905,0.09454619997995906
23,B,17,True,3340180,0.03189149996615015
23,B,10,True,3496654,0.03479269999661483
23,B,16,True,731979,0.14619750002748333
23,B,4,True,3796192,0.030148300022119656
24,A,6,True,4888381,0.043990899983327836
24,A,11,True,2332064,0.042515399982221425
24,A,5,True,3484303,0.03525169999920763
24,A,2,True,1239194,0.12189629999920726
24,A,7,True,3592524,0.0359722999855876
24,A,16,True,1515629,0.11788209999212995
24,A,10,True,2028072,0.10168800002429634
24,A,8,True,2163573,0.11044220000621863
24,A,20,True,3491378,0.03163640000275336
24,A,15,True,303735,0.030127400008495897
24,A,17,True,2330361,0.0340668999706395
24,A,12,True,3471000,0.03042650001589209
24,A,19,True,208055,0.02745140000479296
24,B,2,True,1420765,0.12170379998860881
24,B,7,True,1272368,0.04000760000781156
24,B,19,True,1925196,0.10924449999583885
24,B,12,True,2902090,0.02579600000171922
24,B,5,True,397136,0.02715769998030737
24,B,11,True,216910,0.027041100023780018
24,B,6,True,56521,0.028075600013835356
24,B,15,True,2407,0.03197569999611005
24,B,10,True,2097121,0.026571899972623214
24,B,8,True,1881561,0.09828389997710474
24,B,20,True,5581269,0.023451099987141788
24,B,17,True,1899666,0.02518590001272969
25,A,4,True,1821200,0.10751289999461733
25,A,9,True,3081655,0.11749579999013804
25,A,7,True,2863603,0.027336699975421652
25,A,13,True,2287926,0.029522899974836037
25,A,3,True,1280256,0.029841299983672798
25,A,17,True,1019636,0.044452000031014904
25,A,5,True,1289414,0.10874009999679402
25,A,6,True,3261171,0.03449740001815371
25,A,15,True,3771985,0.04255770001327619
25,A,2,True,2151470,0.032395999995060265
25,A,14,True,1759886,0.033882199990330264
25,A,1,True,817900,0.036632000003010035
25,A,19,True,4495098,0.0363684999756515
25,A,18,True,766736,0.03268720000050962
25,B,7,True,2260260,0.035977099963929504
25,B,9,True,459366,0.08548619999783114
25,B,14,True,2878090,0.032046399981481954
25,B,2,True,6274054,0.029867299977922812
25,B,1,True,132383,0.033753099996829405
25,B,15,True,1781079,0.1041875000228174
25,B,5,True,493913,0.01979590000701137
