id,step,repeat,channel,source_ess,source_proposals,noise_samples,selected_noise_ess,zero_source_weights
751,9,2,18,58.8497621259781,128,512,318.9999999999995,10
751,9,2,19,76.72098450583024,128,512,512.0,8
942,10,2,1,55.409651898943316,128,512,189.99999999999963,18
942,10,2,5,109.58866875581033,128,512,487.99999999999943,6
942,10,2,7,68.614006521057,128,512,511.0,8
942,10,2,9,65.4119542226657,128,512,142.00000000000026,12
942,10,2,11,68.36205164875771,128,512,168.0,10
942,10,2,12,62.24356071456829,128,512,284.9999999999999,9
942,10,2,14,104.96330074423278,128,512,512.0000000000002,1
942,10,2,17,77.83750608587113,128,512,282.00000000000006,8
942,10,2,18,67.40511191413968,128,512,137.00000000000006,8
942,10,2,19,65.07309205042912,128,512,292.9999999999995,11
942,10,0,1,59.323956524122785,128,512,270.00000000000074,23
942,10,0,5,105.97970054478037,128,512,390.00000000000045,1
942,10,0,7,67.17420596550126,128,512,318.00000000000006,16
942,10,0,9,56.75364945840161,128,512,497.0000000000008,20
942,10,0,11,67.40774825596638,128,512,454.9999999999984,12
942,10,0,12,70.37602143987348,128,512,497.9999999999994,8
942,10,0,14,105.06832752111951,128,512,512.0000000000002,1
942,10,0,17,77.32181635184727,128,512,92.00000000000003,9
942,10,0,18,68.46718322408019,128,512,500.0000000000005,5
942,10,0,19,63.08320025830026,128,512,136.99999999999983,14
942,10,1,1,59.43599186812714,128,512,69.99999999999991,25
942,10,1,5,104.25108499203401,128,512,392.00000000000017,2
942,10,1,7,70.35919048217231,128,512,224.00000000000028,7
942,10,1,9,60.19865976448896,128,512,239.00000000000006,18
942,10,1,11,61.42982714182015,128,512,115.99999999999977,12
942,10,1,12,69.95857803024127,128,512,146.99999999999994,14
942,10,1,14,99.88926509980699,128,512,65.00000000000009,4
942,10,1,17,69.57175681027589,128,512,373.9999999999997,7
942,10,1,18,63.45343915518674,128,512,512.0,12
942,10,1,19,66.796486795106,128,512,328.0,11
653,18,2,1,50.60843151031606,128,512,239.00000000000006,26
653,18,2,3,65.10748614619133,128,512,157.99999999999974,20
653,18,2,4,125.91227180040273,128,512,512.0,1
653,18,2,5,70.8335482665059,128,512,382.9999999999995,16
653,18,2,6,39.17799857060499,128,512,392.9999999999998,53
653,18,2,8,81.5892068753287,128,512,324.99999999999955,9
653,18,2,10,87.23204038878187,128,512,488.00000000000006,7
653,18,2,11,86.96513309732423,128,512,342.00000000000017,8
653,18,2,13,84.73438356857935,128,512,511.0,7
653,18,2,14,41.93967379440468,128,512,511.9999999999998,75
653,18,2,15,74.58349810366875,128,512,350.9999999999995,11
653,18,2,17,127.87619403196634,128,512,512.0,0
653,18,1,1,55.91538661528652,128,512,257.9999999999994,31
653,18,1,3,65.29697820041382,128,512,430.9999999999993,13
653,18,1,4,126.34442144355619,128,512,512.0,0
653,18,1,5,71.09997807011771,128,512,252.00000000000034,12
653,18,1,6,35.77252541590357,128,512,263.9999999999998,48
653,18,1,8,83.9554233678019,128,512,338.99999999999983,3
653,18,1,10,78.40818919507453,128,512,385.0,9
653,18,1,11,93.02518969708467,128,512,511.0,2
653,18,1,13,85.75738371118194,128,512,512.0,5
653,18,1,14,42.612953767993965,128,512,511.9999999999998,75
653,18,1,15,66.96673682556491,128,512,372.00000000000017,11
653,18,1,17,127.49082522701168,128,512,512.0,0
653,18,0,1,52.322053659580334,128,512,250.99999999999957,27
653,18,0,3,56.93712871152498,128,512,202.00000000000057,14
653,18,0,4,127.2440717919618,128,512,512.0,0
653,18,0,5,57.24686737502549,128,512,193.00000000000006,14
653,18,0,6,32.21012394319018,128,512,269.0000000000004,48
653,18,0,8,86.21031463189436,128,512,361.9999999999999,10
653,18,0,10,88.19157260680076,128,512,512.0,5
653,18,0,11,81.64956667149443,128,512,512.0000000000002,10
653,18,0,13,83.48051088474745,128,512,313.99999999999994,7
653,18,0,14,39.89298661825014,128,512,511.9999999999998,76
653,18,0,15,70.51833792190943,128,512,127.0,8
653,18,0,17,126.93388860236455,128,512,512.0,1
273,19,0,1,83.07526816435903,128,512,310.00000000000006,6
273,19,0,2,80.31770471153955,128,512,234.00000000000003,12
273,19,0,3,63.823716114823725,128,512,365.9999999999989,12
273,19,0,4,63.125472781954805,128,512,375.99999999999926,14
273,19,0,5,90.09783355268009,128,512,379.0,1
273,19,0,7,51.93456909133053,128,512,417.0000000000004,16
273,19,0,8,78.83765428786752,128,512,159.9999999999999,9
273,19,0,9,78.11883518532322,128,512,206.9999999999999,2
273,19,0,10,84.41408418918917,128,512,512.0,11
273,19,0,11,90.13257563651692,128,512,206.00000000000006,6
273,19,0,12,59.498524443147865,128,512,155.00000000000009,13
273,19,0,14,87.0752510534497,128,512,483.9999999999999,4
273,19,0,15,60.069007062403266,128,512,509.9999999999991,18
273,19,0,17,76.96200519579533,128,512,512.0,5
273,19,0,20,51.22423148829724,128,512,105.99999999999974,35
273,19,1,1,76.75868476560292,128,512,511.9999999999998,12
273,19,1,2,83.52470428189046,128,512,427.99999999999955,10
273,19,1,3,56.749613485085156,128,512,252.00000000000034,19
273,19,1,4,75.14899951112847,128,512,379.0000000000009,16
273,19,1,5,86.58032865967743,128,512,468.0000000000002,3
273,19,1,7,57.34276830026757,128,512,497.9999999999994,11
273,19,1,8,79.94840062313308,128,512,365.0000000000008,5
273,19,1,9,81.48891410251409,128,512,340.0000000000001,10
273,19,1,10,90.70909046621037,128,512,512.0,4
273,19,1,11,95.28358892468277,128,512,512.0,3
273,19,1,12,53.70237772526241,128,512,277.9999999999997,14
273,19,1,14,88.50398292575217,128,512,511.9999999999998,3
273,19,1,15,60.75969068135167,128,512,222.00000000000014,17
273,19,1,17,81.88919172956234,128,512,305.9999999999999,11
273,19,1,20,48.134479751986035,128,512,25.99999999999998,34
273,19,2,1,80.89594269320844,128,512,367.0000000000008,6
273,19,2,2,93.5862069050334,128,512,508.0,6
