certified_clears,clear_attempts,clear_rate,cleared,distance_m,error,evidence,localization_observations,mean_time_per_source_s,measure_count,mixed,optical_fallbacks,policy,runtime_s,seed,stress,switch_count,total,use_negative,virtual_time_s
4,1108,1.0,13,328133.10439604986,,synthetic_local,20,5587.432375323837,623,True,9,P1,0.09541140000000325,25,edge,545,13,True,72636.62087920988
9,154,1.0,13,51118.2798351182,,synthetic_local,33,1137.8966128479733,689,True,4,P4,0.5369330000000012,25,edge,636,13,True,14792.655967023653
7,476,1.0,13,118250.14391795872,,synthetic_local,30,2244.5406756609054,688,True,6,P4,0.5254474999999985,25,edge,635,13,False,29179.02878359177
16,16,1.0,16,32719.987542414176,,synthetic_local,44,450.06234428017734,102,False,0,P1,0.036548799999998494,26,bias,67,16,True,7200.9975084828375
16,16,1.0,16,34588.09626843646,,synthetic_local,42,472.78870335545554,100,False,0,P2,0.8873235999999984,26,bias,67,16,True,7564.619253687289
16,16,1.0,16,19674.146197588037,,synthetic_local,45,289.61432746985054,105,False,0,P3,0.936324599999999,26,bias,94,16,True,4633.829239517609
11,439,1.0,16,139912.86533137687,,synthetic_local,37,1974.4108166422095,390,True,5,P1,0.07598710000000253,26,bias,309,16,True,31590.573066275352
12,54,1.0,16,44111.91627514357,,synthetic_local,56,727.3989534392947,446,True,4,P4,0.7421410000000002,26,bias,392,16,True,11638.383255028715
10,184,1.0,16,78617.33498986025,,synthetic_local,53,1183.091687373253,446,True,6,P4,0.6235751,26,bias,392,16,False,18929.46699797205
10,10,1.0,10,22629.07430129628,,synthetic_local,30,514.8814860259256,100,False,0,P1,0.03088889999999722,27,cluster,73,10,True,5148.814860259256
10,10,1.0,10,24692.724680954067,,synthetic_local,30,556.1544936190813,100,False,0,P2,0.6572537999999994,27,cluster,73,10,True,5561.544936190813
10,10,1.0,10,11392.709284818378,,synthetic_local,30,291.85418569636755,100,False,0,P3,0.5165506999999998,27,cluster,90,10,True,2918.5418569636754
5,272,1.0,10,90427.76342108226,,synthetic_local,19,2239.2552684216453,590,True,5,P1,0.05273070000000146,27,cluster,521,10,True,22392.552684216455
5,19,1.0,10,34199.07627440793,,synthetic_local,31,1094.8815254881588,680,True,5,P4,0.5593533000000015,27,cluster,632,10,True,10948.815254881589
5,19,1.0,10,34199.07627440793,,synthetic_local,31,1094.8815254881588,680,True,5,P4,0.4927065000000006,27,cluster,632,10,False,10948.815254881589
14,14,1.0,14,32563.83267768293,,synthetic_local,37,505.91189539547037,88,False,0,P1,0.03376399999999791,28,random,60,14,True,7082.766535536585
14,14,1.0,14,34863.100040178986,,synthetic_local,39,539.4728577168424,90,False,0,P2,0.786742499999999,28,random,60,14,True,7552.620008035795
14,14,1.0,14,19128.72171083216,,synthetic_local,36,314.6245958690309,87,False,0,P3,0.6841142999999974,28,random,74,14,True,4404.744342166432
8,253,1.0,14,129713.5010603958,,synthetic_local,32,2126.9785865770823,521,True,6,P1,0.06611090000000175,28,random,443,14,True,29777.700212079155
11,172,1.0,14,72535.48095174179,,synthetic_local,50,1317.935442167738,576,True,3,P4,0.7428236000000012,28,random,520,14,True,18451.096190348333
9,200,1.0,14,73108.81319806898,,synthetic_local,44,1331.0544742581258,573,True,5,P4,0.5669511999999983,28,random,520,14,False,18634.76263961376
16,16,1.0,16,31520.46608970431,,synthetic_local,47,444.630826121304,128,False,0,P1,0.044248700000000696,29,edge,90,16,True,7114.093217940864
