cohort,problem,seed,seed_hex,baseline,candidate,baseline_s_per_source,candidate_s_per_source,delta_s_per_source,comparison,total_time_delta_s,distance_delta_m,certificate_travel_delta_m,discovery_delta_s,active_localization_delta_s,diagnostic_delta_s,optical_fallback_delta_s,certified_clear_delta_s
development100,4,22,0000000000000000000000000000000000000000001000000000000000000000,mec_center,segment_entry,1161.7291606000001,1163.2576012,1.5284405999998398,loss,15.284405999998853,1.4220421139689279,-97.40984163644498,-0.1716260000011971,34.93800100000135,-2.2737367544323206e-13,0.0,-19.4819690000013
development100,4,22,0000000000000000000000000000000000000000001000000000000000000000,nccp,segment_entry,1163.2527848,1163.2576012,0.004816399999981513,loss,0.04816399999981513,0.24083498676191084,1.695572623795215,-0.09071600000061153,-0.2002329999977519,-2.2737367544323206e-13,0.0,0.3391129999986333
development100,4,23,0000000000000000000000000000000000000000040000000000000000000000,mec_center,nccp,679.7569739375,676.431331625,-3.3256423125000083,win,-53.21027700000013,-266.0513861817308,-159.06520532761397,-9.647407000000385,-11.749830999998949,2.2737367544323206e-13,0.0,-31.813039000000458
development100,4,23,0000000000000000000000000000000000000000040000000000000000000000,mec_center,segment_entry,679.7569739375,676.5102656875,-3.2467082499999833,win,-51.94733199999973,-259.7366571133243,-155.66594288998795,-8.784169000000475,-12.029973999999356,0.0,0.0,-31.133188999999675
development100,4,23,0000000000000000000000000000000000000000040000000000000000000000,nccp,segment_entry,676.431331625,676.5102656875,0.07893406250002499,loss,1.2629450000003999,6.31472906840645,3.399262437626021,0.8632379999999102,-0.2801430000004075,-2.2737367544323206e-13,0.0,0.6798500000007834
development100,4,24,0000000000000000000000000000000000000001000000000000000000000000,mec_center,nccp,1052.0963796363637,1051.6806542727272,-0.41572536363651125,win,-4.572979000000487,-22.864892400124518,3.494634945776397,-5.983959999997751,-1.037152000000333,1.7492039999999633,0.0,0.698929000000021
development100,4,24,0000000000000000000000000000000000000001000000000000000000000000,mec_center,segment_entry,1052.0963796363637,1051.7816007272727,-0.31477890909104644,win,-3.4625680000008288,-17.31282867968548,6.668491121967463,-5.8264689999959955,-0.1338350000025912,1.1640370000000075,0.0,1.333699000000081
development100,4,24,0000000000000000000000000000000000000001000000000000000000000000,nccp,segment_entry,1051.6806542727272,1051.7816007272727,0.1009464545454648,loss,1.110410999999658,5.552063720439037,3.173856176191066,0.1574910000017553,0.9033169999977417,-0.5851669999999558,0.0,0.63477000000006
development100,4,25,0000000000000000000000000000000000000008000000000000000000000000,mec_center,nccp,888.8339057692308,888.6202596153846,-0.21364615384618446,win,-2.7774000000008527,-13.886988251906587,-84.88874796358527,-6.311892000001535,21.153780000001916,-0.6415370000004259,0.0,-16.977750999999557
development100,4,25,0000000000000000000000000000000000000008000000000000000000000000,mec_center,segment_entry,888.8339057692308,888.6689491538461,-0.16495661538465356,win,-2.1444360000004963,-10.722173317932175,-83.96079210946687,-6.378934000000299,21.136383000001956,-0.10972800000035932,0.0,-16.792156999999634
development100,4,25,0000000000000000000000000000000000000008000000000000000000000000,nccp,segment_entry,888.6202596153846,888.6689491538461,0.0486895384615309,loss,0.6329640000003565,3.1648149339744123,0.9279558541184088,-0.06704199999876437,-0.017396999999959917,0.5318090000000666,0.0,0.18559399999992365
development100,4,26,0000000000000000000000000000000000000040000000000000000000000000,mec_center,nccp,1102.1791493636365,1099.5418264545456,-2.6373229090909263,win,-29.010551999999734,-145.05277849708364,-105.96344988115061,-8.351832999998805,0.5339680000033695,0.0,0.0,-21.19268700000532
development100,4,26,0000000000000000000000000000000000000040000000000000000000000000,mec_center,segment_entry,1102.1791493636365,1099.7279769090908,-2.4511724545457128,win,-26.96289700000125,-134.81449144272483,-98.94841392979924,-8.511245000001509,1.3380290000022796,0.0,0.0,-19.7896810000027
development100,4,26,0000000000000000000000000000000000000040000000000000000000000000,nccp,segment_entry,1099.5418264545456,1099.7279769090908,0.1861504545452135,loss,2.0476549999984854,10.238287054358807,7.015035951351365,-0.15941200000270328,0.8040609999989101,0.0,0.0,1.4030060000026197
development100,4,27,0000000000000000000000000000000000001000000000000000000000000000,mec_center,nccp,915.0479205384615,913.3341026923076,-1.7138178461539155,win,-22.279631999999765,-111.39815105748858,-106.49582258481928,-0.13189899999997579,0.9744149999978617,-1.822983000000022,0.0,-21.29916499999763
development100,4,27,0000000000000000000000000000000000001000000000000000000000000000,mec_center,segment_entry,915.0479205384615,913.3309790000001,-1.7169415384614695,win,-22.320239999999103,-111.60119274972385,-105.8279153735075,-0.3172489999979007,1.0027119999979277,-1.8401189999999588,0.0,-21.165583999998773
development100,4,27,0000000000000000000000000000000000001000000000000000000000000000,nccp,segment_entry,913.3341026923076,913.3309790000001,-0.003123692307553938,win,-0.04060799999933806,-0.20304169223527424,0.6679072113117854,-0.1853499999979249,0.028297000000065964,-0.017135999999936757,0.0,0.13358099999885553
development100,4,28,0000000000000000000000000000000000040000000000000000000000000000,mec_center,nccp,985.2695530833333,982.53864325,-2.730909833333385,win,-32.770918000000165,-163.85459632884886,-116.66901066677883,-7.615982999996049,-1.8211319999995794,0.0,0.0,-23.333803000002035
