seed,method,diameter_m,mec_radius_m,time_s
65,NBV,58.62702196140643,29.313510990703215,193.5413318029381
66,random_safe,184.5497250388602,92.2748625294302,179.42078019807727
66,perpendicular_midpoint,174.05815951027736,87.02907976513868,164.78960444164818
66,NBV,161.8213356342021,80.91066782710105,191.0390671101356
67,random_safe,90.66041295548263,45.33020648774132,160.18089947055887
67,perpendicular_midpoint,28.088428550241343,14.044214285120672,164.7455769029186
67,NBV,53.132510122799175,26.566255071399617,200.2155966600509
68,random_safe,48.48686943101026,24.24343472550515,179.42078019807713
68,perpendicular_midpoint,41.0046130095846,20.502306514792327,165.54298365130634
68,NBV,58.13704010834425,29.068520064172155,191.03906711013562
69,random_safe,193.11311163223863,96.55655582611942,156.30517546774288
69,perpendicular_midpoint,192.5781434710573,96.28907174552864,165.65079544146357
69,NBV,144.14082982703053,72.07041492351536,191.03906711013545
70,random_safe,158.59304594296174,79.2965229814809,165.35258337479664
70,perpendicular_midpoint,156.59221204620493,78.29610603310257,164.6731660351388
70,NBV,122.23755492745751,61.118777473728834,183.06114679859547
71,random_safe,22.9181034483272,11.45905173416361,128.9840224307108
71,perpendicular_midpoint,45.34631918983512,22.67315960491756,165.5065857495387
71,NBV,59.29829109492681,29.649145557463438,185.81791959116
72,random_safe,155.65392689506172,77.82696345753085,129.018145474037
72,perpendicular_midpoint,91.36377212446236,45.68188607223119,165.04260522523143
72,NBV,66.38388610316073,33.19194306158042,177.72874557999143
73,random_safe,48.56132943082388,24.280664725411967,175.0997093550771
73,perpendicular_midpoint,52.704770580466224,26.352385300233138,164.74218968543278
73,NBV,48.56132943082388,24.280664725411967,175.0997093550771
74,random_safe,78.85895099797712,39.42947550898861,167.74589349507875
74,perpendicular_midpoint,106.54513924609292,53.27256963304648,165.45766158126068
74,NBV,63.6716782456303,31.83583913281515,198.9893135916171
75,random_safe,21.92744429131839,10.963722155659223,129.52738260856668
75,perpendicular_midpoint,43.89351843981313,21.946759229906565,165.2967555318436
75,NBV,64.79454068548728,32.397270352743654,191.0390671101356
76,random_safe,238.4807799204382,119.24038997021913,160.16856296816493
