seed,method,point_error_m,point_attempt_success,diameter_stop,mec_stop,mec_center_error_m
87,perpendicular_midpoint,15.261476948511838,True,False,False,15.325360265418736
87,NBV,1.1899283979687678,True,False,False,1.6273144083170172
88,random_safe,14.970405483724775,True,False,False,14.238539375076723
88,perpendicular_midpoint,10.182156888069247,True,True,True,10.13292238599552
88,NBV,12.64248281053164,True,True,True,12.6411451641493
89,random_safe,16.362481149827886,True,False,False,16.47227313648192
89,perpendicular_midpoint,12.244329144969068,True,True,True,12.15147577291998
89,NBV,16.362481149827886,True,False,False,16.47227313648192
90,random_safe,11.197734243862788,True,False,False,13.182991279043659
90,perpendicular_midpoint,8.706641703967847,True,True,True,8.304232102048497
90,NBV,8.808722570989302,True,True,True,9.020639500563457
91,random_safe,45.34387603422812,False,False,False,36.41824094246091
91,perpendicular_midpoint,40.21006220007605,False,False,False,32.75077355437854
91,NBV,23.88512531326962,False,False,False,19.6308450957334
92,random_safe,9.487487097832084,True,True,True,9.483066038068971
92,perpendicular_midpoint,4.618036536411359,True,False,False,5.072980113497003
92,NBV,9.120050899116373,True,False,False,9.206105223676827
93,random_safe,15.349009124732358,True,True,True,15.35825025256617
93,perpendicular_midpoint,11.608254752603235,True,True,True,11.722591446639832
93,NBV,14.416853701677093,True,True,True,14.402974832601718
94,random_safe,11.642173991977621,True,False,False,11.812414483864583
94,perpendicular_midpoint,12.426877685217425,True,False,False,12.425620808760872
94,NBV,24.20524819691821,False,False,False,24.215188594039496
95,random_safe,16.347808344993194,True,False,False,16.588993165835173
95,perpendicular_midpoint,11.159395016006487,True,True,True,11.017659157074773
95,NBV,17.05256689883018,True,False,False,16.92793310328845
96,random_safe,31.730403235239557,False,False,False,16.693068753061233
96,perpendicular_midpoint,38.05656395973871,False,False,False,25.342248986440055
96,NBV,14.128959228710668,True,False,False,20.387788599297334
97,random_safe,5.317273924440876,True,False,False,5.431565911756465
97,perpendicular_midpoint,23.093537039699346,False,False,False,23.0298553043946
97,NBV,19.20405183543671,True,False,False,19.32165327309346
98,random_safe,8.511618444432694,True,True,True,8.438976734385166
98,perpendicular_midpoint,8.131587710075184,True,True,True,8.09154175921663
98,NBV,8.695651066058497,True,False,False,8.8714602679238
99,random_safe,237.10316596979342,False,False,False,3.5481851730798835
99,perpendicular_midpoint,2.931425683358057,True,False,False,2.758664878293773
99,NBV,24.765223717116175,False,False,False,24.636007323149315
