time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
9.060000000000000000e+03,1.587784969320977374e-02,1.760881347306442191e+00,7.751641309911185829e-01,1.607036292944668198e-04
9.120000000000000000e+03,1.586572482155816297e-02,1.756669092658103670e+00,7.748940636919142699e-01,1.606901125559322748e-04
9.180000000000000000e+03,1.585362130743887474e-02,1.752467256140837204e+00,7.746247219873879652e-01,1.607492353669800718e-04
9.240000000000000000e+03,1.584153507324560783e-02,1.748276117096129845e+00,7.743548186171512748e-01,1.607255924253450717e-04
9.300000000000000000e+03,1.582946204137204368e-02,1.744097544083182072e+00,7.740834649826581204e-01,1.608550816044629101e-04
9.360000000000000000e+03,1.581739813421189494e-02,1.739929162228871062e+00,7.738106335315723117e-01,1.608401955167627038e-04
9.420000000000000000e+03,1.580533927415884998e-02,1.735771265585798195e+00,7.735362941801430248e-01,1.609151679678858297e-04
9.480000000000000000e+03,1.579328138360660064e-02,1.731624014927511057e+00,7.732592979501066166e-01,1.609527825622880149e-04
9.540000000000000000e+03,1.578122038494884569e-02,1.727486775137221153e+00,7.729796119121213893e-01,1.609812310772914255e-04
9.600000000000000000e+03,1.576915220057928738e-02,1.723360694742838151e+00,7.726967276605261059e-01,1.609812466295567929e-04
9.660000000000000000e+03,1.575707275289161408e-02,1.719246268263693089e+00,7.724105492366775128e-01,1.611028093168805108e-04
9.720000000000000000e+03,1.574497796427952109e-02,1.715140697076669607e+00,7.721208600362441388e-01,1.610417780136449149e-04
9.780000000000000000e+03,1.573286375713671068e-02,1.711046638833813915e+00,7.718273299286553257e-01,1.610998705553152782e-04
9.840000000000000000e+03,1.572072605385687466e-02,1.706964721421929454e+00,7.715289687640836114e-01,1.611933548140372140e-04
9.900000000000000000e+03,1.570856077683371183e-02,1.702891978957602248e+00,7.712258842761637867e-01,1.611767433767134739e-04
9.960000000000000000e+03,1.569636384846091054e-02,1.698829685172279724e+00,7.709172073321698404e-01,1.612659142803592475e-04
1.002000000000000000e+04,1.568413119113217652e-02,1.694776790307817915e+00,7.706024778422367882e-01,1.612704853021773837e-04
1.008000000000000000e+04,1.567185872724120160e-02,1.690734126262024128e+00,7.702814171382806885e-01,1.612931749644397350e-04
