seed,total,C_s_per_source,R12_s_per_source,delta_s_per_source,delta_distance_m
229,13,780.2949167692308,591.0038093846154,-189.29110738461543,-8213.921948884272
230,13,692.6470320000001,584.4521336153846,-108.1948983846155,-4867.668362383873
231,10,914.7879163,725.688405,-189.09951130000002,-5529.975531262819
232,13,677.4315946153846,590.4248,-87.00679461538459,-3935.441650966928
233,13,686.0926649230769,583.7692716923077,-102.32339323076917,-4531.020548205881
234,11,878.4704109090909,611.6654680909091,-266.80494281818176,-8839.271838825429
235,16,600.63201325,402.645242625,-197.98677062500002,-10993.94164358332
236,15,589.0867388,450.6219522,-138.46478660000002,-8319.858972215858
237,15,559.1689343333333,452.3854770666667,-106.78345726666657,-6408.759256355501
238,16,406.678404375,316.139193125,-90.53921125,-5013.136894348932
239,12,789.5997550000001,600.73679025,-188.86296475000006,-6546.777875325639
240,13,691.0579409230769,585.7679097692308,-105.29003115384614,-3728.852011505507
241,13,656.5532137692309,518.9792991538462,-137.57391461538464,-7142.304431211636
242,15,613.9675984666667,453.26207346666666,-160.70552500000002,-7677.914342865668
243,15,562.1629016666667,477.24818880000004,-84.91471286666666,-6003.603455842669
244,11,872.4749271818182,716.479669909091,-155.99525727272726,-4569.7391195328055
245,12,764.7954721666666,598.6127642499999,-166.1827079166667,-5085.962453045515
246,16,450.0275725,367.7652643125,-82.26230818750003,-3755.9846452411803
247,14,654.9909583571429,524.05742,-130.93353835714288,-6645.347653756009
248,14,612.5773699285713,529.6278420714286,-82.9495278571427,-2231.4669630401586
249,11,843.7022187272727,687.607762909091,-156.0944558181817,-5780.19504357018
250,10,902.7811261999999,750.1438957,-152.63723049999987,-5291.861512049309
251,10,1007.5566327,776.5916841999999,-230.9649485000001,-5508.247422487697
252,10,903.4590232,645.9994146,-257.4596086,-8942.980418337102
253,16,480.74313375,401.051899125,-79.69123462500005,-4360.298738544014
254,15,553.9889950666667,480.44544613333335,-73.54354893333334,-3505.7661851899975
255,13,692.0884282307693,542.3447781538462,-149.74365007692313,-5853.33725671986
256,15,616.2364934666667,504.77955033333336,-111.45694313333337,-5939.2707176363
257,16,564.2036105,356.9770211875,-207.22658931249998,-12918.127157998744
258,10,888.9444662,688.8822241,-200.06224209999993,-6608.11208379396
259,16,384.8357456875,426.102620625,41.266874937500006,4006.3500027082046
260,10,955.2272372,734.9112291,-220.31600809999998,-6440.800387970823
261,16,359.96079975,486.4742508125,126.5134510625,8391.076083461703
262,16,446.814874125,514.23045675,67.41558262500001,3383.246614023523
263,13,695.6769767692307,524.3140400769231,-171.36293669230758,-7713.590869062955
264,15,620.6244922666666,489.9009708666666,-130.72352139999998,-6014.26406756655
265,15,601.2677040666666,544.0066792666667,-57.26102479999997,-2834.5768302203796
266,14,657.6234200714287,523.8326965714285,-133.79072350000013,-8670.350602049046
267,13,704.1354441538462,597.8768264615385,-106.25861769230767,-4986.810124625445
